"Authors","Articles","Articles Fractionalized"
"CRUPI AP","1","0.25"
"CRUZ J","1","0.11"
"CUMMING GS","1","0.50"
"CUNNINGHAM R","1","0.14"
"CURRAN BK","1","0.06"
"CURRAS MR","1","0.25"
"CURTIS PD","1","0.20"
"CUSACK JJ","1","0.14"
"CWYNAR B","1","0.11"
"D'SOUZA E","1","0.20"
"DA COSTA CF","1","0.50"
"DA SILVA VMF","1","0.25"
"DACOSTA KP","1","0.20"
"DAILY GC","1","0.25"
"DANIELSON BJ","1","0.50"
"DAS SK","1","0.20"
"DASKIN JH","1","0.25"
"DATTILO W","1","0.14"
"DAUWALTER DC","1","0.08"
"DAVEY ML","1","0.10"
"DAVIDSON I","1","0.07"
"DAVIES ZG","1","0.17"
"DAVIS R","1","0.17"
"DAVIS RJ","1","0.25"
"DAWSON FN","1","0.14"
"DAWSON J","1","0.14"
"DAWSON RD","1","0.50"
"DAYTON KE","1","0.25"
"DE ANGELO C","1","0.07"
"DE KNIJF G","1","0.06"
"DE LA TORRE JA","1","0.09"
"DE OLIVEIRA AD","1","0.25"
"DE OLIVEIRA TV","1","0.20"
"DE ORNELLAS P","1","0.20"
"DE SOUZA DA","1","0.25"
"DEBOER JA","1","0.20"
"DEBRUYNE RL","1","0.14"
"DECHNER A","1","0.20"
"DECKER S","1","0.14"
"DEEPAK V","1","0.50"
"DEERE NJ","1","0.14"
"DEGAETANO AT","1","0.17"
"DELANEY KS","1","0.13"
"DELEHANTY DJ","1","0.13"
"DELLA TORRE A","1","0.13"
"DEMETRIO CGB","1","0.20"
"DENNIS EB","1","0.14"
"DENOEL M","1","0.11"
"DENSMORE LD","1","0.33"
"DEPERNO CS","1","0.25"
"DEPPE JL","1","0.17"
"DERLINDATI E","1","0.17"
"DERTIEN JS","1","0.50"
"DEVERS PK","1","0.17"
"DEVESON E","1","0.14"
"DEVICTOR V","1","0.20"
"DEWAN A","1","0.33"
"DEWAN K","1","0.08"
"DEXTRASE AJ","1","0.33"
"DEY DK","1","0.25"
"DHANJAL-ADAMS KL","1","0.14"
"DI BLANCO Y","1","0.14"
"DI NICOLA MR","1","0.10"
"DIANA A","1","0.06"
"DIAO YX","1","0.13"
"DIAS DD","1","0.33"
"DIAZ-PANIAGUA C","1","0.25"
"DIAZ-RUIZ F","1","0.20"
"DICKINSON JL","1","0.17"
"DIEFENBACH DR","1","0.50"
"DIEGMANN JS","1","0.14"
"DINSMORE SJ","1","0.33"
"DISTILLER G","1","0.33"
"DLONIAK SM","1","0.11"
"DOBBINS M","1","0.20"
"DOBKIN DS","1","0.14"
"DOBROWSKI SZ","1","0.14"
"DOHERTY TS","1","0.20"
"DOKA SE","1","0.14"
"DOLEV A","1","0.17"
"DOMINGUEZ AFR","1","0.25"
"DONADIO E","1","0.25"
"DONNELLY D","1","0.20"
"DONOVAN TM","1","0.25"
"DOS SANTOS LR","1","0.25"
"DRAKE D","1","0.11"
"DRAKE DAR","1","0.33"
"DRAKE DL","1","0.20"
"DRAKE J","1","0.33"
"DRAKE KL","1","0.33"
"DRAPEAU P","1","0.17"
"DRENSKE S","1","0.09"
"DREW K","1","0.09"
"DREWS A","1","0.05"
"DRI GF","1","0.20"
"DRISCOLL DA","1","0.50"
"DROEGE S","1","0.17"
"DROUILLY M","1","0.33"
"DROUIN R","1","0.14"
"DU PREEZ P","1","0.17"
"DUARTE LD","1","0.20"
"DUBOUR AJ","1","0.20"
"DUCHAC LS","1","0.25"
"DUCKWORTH GD","1","0.50"
"DUCLOS TR","1","0.33"
"DUDLEY JG","1","0.20"
"DUNCAN RP","1","0.09"
"DUNHAM JB","1","0.08"
"DUNNING JB","1","0.20"
"DUPUIS JA","1","0.33"
"DURET C","1","0.11"
"DURSO AM","1","0.33"
"DYBALA KE","1","0.33"
"DYCK MA","1","0.25"
"DYER H","1","0.11"
"EAKIN CJ","1","0.17"
"EAMES JC","1","0.13"
"EASTER T","1","0.33"
"EATON MJ","1","0.33"
"EDELBLUTTE E","1","0.20"
"EICHELBERGER BA","1","0.14"
"EICHENBERG D","1","0.05"
"EIDE NE","1","0.17"
"ELLIOTT-SMITH E","1","0.11"
"ELLIS M","1","0.20"
"ELLIS MM","1","0.20"
"ELSEY EA","1","0.17"
"ELSTON DA","1","0.33"
"EMERSON SA","1","0.25"
"EMMERTON CA","1","0.14"
"ENDRESTOL A","1","0.10"
"ENGILIS A","1","0.33"
"EPPS CW","1","0.10"
"ER KBH","1","0.13"
"ERB B","1","0.17"
"ERICKSON KD","1","0.50"
"ESPINOSA S","1","0.05"
"ESPINOZA-MUNOZ D","1","0.17"
"ESSER HJ","1","0.09"
"ESTEVE MA","1","0.17"
"ESTEVO CA","1","0.17"
"EVANS AL","1","0.20"
"EVANS JM","1","0.25"
"EVENSON JR","1","0.11"
"EWERS RM","1","0.17"
"EYSTER HN","1","0.25"
"FAGAN WF","1","0.33"
"FAISAL MM","1","0.25"
"FALCONER CM","1","0.33"
"FALCONI M","1","0.07"
"FALCY MR","1","0.50"
"FALLON FW","1","0.20"
"FALLON JE","1","0.20"
"FANDJINOU K","1","0.17"
"FARACI F","1","0.10"
"FARHADINIA MS","1","0.04"
"FARIAS-GONZALEZ V","1","0.14"
"FARNSWORTH ML","1","0.14"
"FARRELL S","1","0.20"
"FATTEBERT J","1","0.25"
"FAUST LJ","1","0.14"
"FAY G","1","0.33"
"FEARER T","1","0.17"
"FEDY BC","1","0.11"
"FENG JW","1","0.13"
"FENG LM","1","0.14"
"FENG RN","1","0.14"
"FERNANDEZ-LOPEZ J","1","0.25"
"FERREIRA MAR","1","0.13"
"FESENMYER KA","1","0.08"
"FIDINO M","1","0.20"
"FIELD SA","1","0.17"
"FIGEL JJ","1","0.17"
"FIGURA PJ","1","0.33"
"FILIPPONI F","1","0.13"
"FINEGAN B","1","0.17"
"FINERTY GE","1","0.02"
"FISCHER RA","1","0.33"
"FISHER AC","1","0.33"
"FITKIN S","1","0.13"
"FLEMING KD","1","0.25"
"FLEMING TL","1","0.33"
"FLESCHUTZ MM","1","0.17"
"FLESHER KM","1","0.20"
"FLOCKHART DTT","1","0.14"
"FLYMAN MV","1","0.02"
"FOGELL DJ","1","0.25"
"FOLETTO F","1","0.07"
"FORD WM","1","0.17"
"FORDHAM DA","1","0.09"
"FORERO-MEDINA G","1","0.17"
"FORMIA A","1","0.06"
"FOSS C","1","0.20"
"FOSSOY F","1","0.10"
"FOSTER LJ","1","0.13"
"FOSTER NJ","1","0.20"
"FOSTER RJ","1","0.05"
"FOSTER S","1","0.14"
"FOWLER AJ","1","0.09"
"FOWLER NL","1","0.11"
"FOX R","1","0.14"
"FRANCISCO DR","1","0.20"
"FRANKLIN AB","1","0.20"
"FRANKLIN E","1","0.33"
"FRASER JD","1","0.17"
"FREEMAN MC","1","0.17"
"FREIRE JDM","1","0.07"
"FREY SJK","1","0.33"
"FRIMPONG EA","1","0.50"
"FRINK TJ","1","0.20"
"FRISCH JR","1","0.10"
"FRITTS MW","1","0.20"
"FROEHLY JL","1","0.25"
"FUJISAKI I","1","0.11"
"FULLER RA","1","0.14"
"FUNES MC","1","0.25"
"FUNSTON PJ","1","0.17"
"FURTADO MM","1","0.17"
"GADE MR","1","0.25"
"GAIGHER R","1","0.25"
"GAL B","1","0.20"
"GALETTI M","1","0.25"
"GALLO S","1","0.17"
"GALVAN SK","1","0.14"
"GAMEZ S","1","0.50"
"GANTCHOFF MG","1","0.50"
"GARCES-VARGAS J","1","0.11"
"GARCIA EJ","1","0.13"
"GARCIA JM","1","0.07"
"GARCIA K","1","0.25"
"GARCIA-DIAZ P","1","0.20"
"GARCIA-DOMINGUEZ F","1","0.13"
"GARDNER P","1","0.11"
"GARRIE J","1","0.50"
"GARRISON EP","1","0.25"
"GARROTT RA","1","0.20"
"GARTHWAITE DG","1","0.14"
"GATORANO G","1","0.14"
"GATTI S","1","0.20"
"GAULKE SM","1","0.06"
"GAUTIER R","1","0.25"
"GAVIER-PIZARRO GI","1","0.10"
"GAVRILIDIS AA","1","0.11"
"GAYNOR KM","1","0.25"
"GEHRING TM","1","0.25"
"GELDARD RP","1","0.20"
"GENTILI R","1","0.25"
"GEORGE TL","1","0.33"
"GERVAIS A","1","0.25"
"GHOLIKHANI N","1","0.04"
"GHOSHAL A","1","0.14"
"GIBSON D","1","0.25"
"GIBSON LA","1","1.00"
"GIBSON-REINEMER DK","1","0.20"
"GIGLIOTTI L","1","0.17"
"GILABERT H","1","0.11"
"GILBERT SL","1","0.25"
"GILL RE","1","0.20"
"GILLANDERS BM","1","0.09"
"GILLESPIE GR","1","0.11"
"GILLILAND SG","1","0.33"
"GIMONA A","1","0.11"
"GIRARD A","1","0.06"
"GIRONDOT M","1","0.06"
"GLISSON WJ","1","0.20"
"GLORIOSO BM","1","0.33"
"GLOWACKI GA","1","0.20"
"GOAD EH","1","0.25"
"GOBBI M","1","0.17"
"GOCKEL S","1","0.11"
"GODLEY BJ","1","0.06"
"GODOY WAC","1","0.20"
"GOERTLER PAL","1","0.17"
"GOFFART P","1","0.06"
"GOLABEK K","1","0.02"
"GOLDING JD","1","0.33"
"GOMEZ C","1","0.13"
"GOMEZ JP","1","0.25"
"GOMEZ-RODRIGUEZ C","1","0.25"
"GOMPPER ME","1","0.17"
"GONCALVES AL","1","0.07"
"GONCALVES ALS","1","0.25"
"GONZALES RDR","1","0.07"
"GONZALEZ LM","1","0.13"
"GONZALEZ TM","1","0.25"
"GONZALEZ-JAUREGUI M","1","0.33"
"GONZALEZ-TRUJILLO JD","1","0.25"
"GOODALE E","1","0.20"
"GOODMAN SM","1","0.17"
"GOOSSENS B","1","0.11"
"GORMLEY AM","1","0.09"
"GOSALBEZ J","1","0.25"
"GOTAME B","1","0.08"
"GOTTLIEB IGW","1","0.17"
"GOULD PR","1","0.25"
"GRABOW M","1","0.09"
"GRAF RF","1","0.17"
"GRAGSON TL","1","0.10"
"GRAINGER M","1","0.17"
"GRAY TNE","1","0.13"
"GREEN DS","1","0.20"
"GREEN LE","1","0.33"
"GREEN SJ","1","0.14"
"GREENBERG R","1","0.20"
"GREGORY RD","1","0.17"
"GREY MJ","1","0.07"
"GRIFFITHS NP","1","0.11"
"GRIFFITHS RA","1","0.25"
"GRILO C","1","0.25"
"GROUARD S","1","0.20"
"GU BJ","1","0.13"
"GU H","1","0.20"
"GUILLEMAIN M","1","0.11"
"GUILLERA-ARROITA G","1","0.11"
"GUIMARAES M","1","0.25"
"GUISAN A","1","0.25"
"GUNTHER A","1","0.05"
"GURNEY KEB","1","0.20"
"GUSTAFSON KD","1","0.50"
"HADLEY AS","1","0.33"
"HAGEN R","1","0.09"
"HAHN BA","1","0.20"
"HALBUR M","1","0.33"
"HALL D","1","0.07"
"HALL KC","1","0.09"
"HALL LA","1","0.11"
"HAMEED S","1","0.20"
"HAMEL S","1","0.04"
"HAMMERICH S","1","0.33"
"HAND CE","1","0.11"
"HANDLEY LL","1","0.11"
"HANFLING B","1","0.11"
"HANNI DJ","1","0.20"
"HANNIFFY R","1","0.17"
"HANNON DR","1","0.25"
"HARIHAR A","1","0.20"
"HARPER CA","1","0.17"
"HARPER KJ","1","0.11"
"HARPER LR","1","0.11"
"HARRIS SH","1","0.50"
"HARRISON PJ","1","0.14"
"HARTLEY AZ","1","0.25"
"HARTLEY R","1","0.02"
"HARTZ SM","1","0.20"
"HARVESON LA","1","0.20"
"HARVESON PM","1","0.20"
"HATFIELD RG","1","0.06"
"HATHAWAY SA","1","0.13"
"HAUKOS D","1","0.25"
"HAULTON GS","1","0.33"
"HAVMOLLER RW","1","0.25"
"HAXTON TJ","1","0.50"
"HAYNES TB","1","0.14"
"HEATH JA","1","0.33"
"HEDWALL S","1","0.07"
"HEFNER JM","1","0.14"
"HEGEL CGZ","1","0.25"
"HEGRE H","1","0.10"
"HEIM N","1","0.25"
"HEINDL BAP","1","0.14"
"HEINSOHN R","1","0.17"
"HEISE RJ","1","0.17"
"HEMP A","1","0.11"
"HENDEN JA","1","0.25"
"HENLE K","1","0.17"
"HENLEY S","1","0.02"
"HENNENLAN C","1","0.33"
"HENRY DAW","1","0.50"
"HEPINSTALL-CYMERMAN J","1","0.10"
"HEPP GR","1","0.50"
"HEPPER D","1","0.06"
"HERNANDEZ F","1","0.11"
"HERNANDEZ-POTOSME S","1","0.05"
"HERON JM","1","0.06"
"HERREL A","1","0.20"
"HERRERA DJ","1","0.14"
"HERRERA L","1","0.05"
"HERRICK BM","1","0.11"
"HERRMANN V","1","0.17"
"HESTER A","1","0.11"
"HESTER M","1","0.20"
"HETHERINGTON DA","1","0.13"
"HEURICH M","1","0.25"
"HEWITT MO","1","0.20"
"HICKE JA","1","0.25"
"HIDALGO-HERMOSO E","1","0.13"
"HIEB EE","1","0.20"
"HIGA M","1","0.17"
"HILL CM","1","0.25"
"HILL EB","1","0.25"
"HILL RA","1","0.11"
"HINDE J","1","0.20"
"HOCKING DJ","1","0.25"
"HOCKINGS KJ","1","0.25"
"HODGMAN TP","1","0.17"
"HODUM P","1","0.20"
"HOFER H","1","0.17"
"HOLEKAMP KE","1","0.20"
"HOLLERBACH L","1","0.25"
"HOLLEY KS","1","0.17"
"HOLLORAN AG","1","0.11"
"HOLLORAN MJ","1","0.11"
"HOLMES C","1","0.14"
"HOLMES V","1","0.25"
"HON J","1","0.07"
"HONEYCUTT RK","1","0.11"
"HONG YM","1","0.20"
"HOSTETTER NJ","1","0.11"
"HOUGHTON LM","1","0.17"
"HOWE FP","1","0.33"
"HOWE KB","1","0.13"
"HOWELL CA","1","0.17"
"HOWELL PE","1","0.07"
"HOY SR","1","0.20"
"HUA CL","1","0.06"
"HUA Y","1","0.17"
"HUANG G","1","0.17"
"HUBBARD T","1","0.11"
"HUBBELL SP","1","0.50"
"HUCKE-GAETE R","1","0.11"
"HUDGENS BR","1","0.20"
"HUDSON MA","1","0.14"
"HUGHES B","1","0.17"
"HUNT JW","1","0.33"
"HUNTE W","1","0.33"
"HUNTER ML","1","0.20"
"HURLBERT AH","1","0.33"
"HUSBAND TP","1","0.11"
"HUSSAIN HS","1","0.10"
"HUTTO RL","1","0.25"
"HUTTON JM","1","0.20"
"HUYVAERT KP","1","0.25"
"IANNARILLI F","1","0.11"
"IEZZI ME","1","0.07"
"IGLECIA MN","1","0.33"
"IKIN K","1","0.14"
"IMBEAU L","1","0.17"
"INGWERSEN D","1","0.07"
"IRIZARRY JI","1","0.33"
"IRWIN LL","1","0.33"
"ISAAK DJ","1","0.08"
"ISDEN J","1","0.02"
"ISOKE S","1","0.17"
"JACHOWSKI CMB","1","0.25"
"JACKSON DA","1","0.33"
"JACKSON PJ","1","0.13"
"JACOBI SK","1","0.20"
"JACOBSEN RM","1","0.10"
"JACOMO ATA","1","0.17"
"JAMTSHO R","1","0.33"
"JANSEN F","1","0.05"
"JARCHOW CJ","1","0.17"
"JATHANNA D","1","0.17"
"JAY SC","1","0.11"
"JEFFERY BM","1","0.11"
"JEFFRESS MR","1","0.10"
"JEHLE R","1","0.33"
"JELKS HL","1","0.17"
"JENKINS CL","1","0.25"
"JEPSEN JU","1","0.33"
"JESSOP TS","1","0.20"
"JHA A","1","0.33"
"JI YQ","1","0.06"
"JIANG GS","1","0.17"
"JIANG XL","1","0.33"
"JIMENEZ JE","1","0.33"
"JOACHIM J","1","0.33"
"JOHNSON AEM","1","0.17"
"JOHNSON BA","1","0.25"
"JOHNSON PJ","1","0.13"
"JONES C","1","0.11"
"JONES CJ","1","0.09"
"JONES GM","1","0.17"
"JONES HH","1","0.25"
"JONES TR","1","0.11"
"JONES-FARRAND DT","1","0.25"
"JORDAN CA","1","0.09"
"JORGE MH","1","0.25"
"JORGENSEN CF","1","0.20"
"JOSHI BD","1","0.13"
"JOSHI V","1","0.17"
"KABIR M","1","0.20"
"KACHEL S","1","0.33"
"KADARIYA R","1","0.14"
"KAFLEY H","1","0.17"
"KALKMAN VJ","1","0.06"
"KALKO EKV","1","0.11"
"KALLE R","1","0.25"
"KALYAHE M","1","0.14"
"KANDEL RC","1","0.09"
"KANE MD","1","0.04"
"KARELUS DL","1","0.20"
"KARENYI N","1","0.25"
"KARKI MT","1","0.08"
"KARL BJ","1","0.09"
"KARPANTY S","1","0.14"
"KARUBIAN J","1","0.20"
"KASS JM","1","0.25"
"KATAYAMA N","1","0.25"
"KAUHALA K","1","0.25"
"KAUTZ TM","1","0.11"
"KAWALKAR D","1","0.25"
"KAWANISHI K","1","0.20"
"KAZI A","1","0.25"
"KE A","1","0.20"
"KEANE JJ","1","0.25"
"KEEPING D","1","0.02"
"KEESING F","1","0.20"
"KEINATH DA","1","0.06"
"KELKAR N","1","0.20"
"KELLNER JR","1","0.50"
"KELLY EG","1","0.11"
"KENDALL BE","1","0.14"
"KENDALL KC","1","0.17"
"KENNARD MJ","1","0.17"
"KENNEDY CM","1","0.33"
"KENNEDY PL","1","0.20"
"KESCH K","1","0.02"
"KESLER DC","1","0.14"
"KESSINGER BE","1","0.20"
"KEYSER PD","1","0.17"
"KHADKA M","1","0.17"
"KHAN B","1","0.10"
"KHANAL G","1","0.20"
"KHANAL K","1","0.09"
"KHANDAL D","1","0.25"
"KHANYARI M","1","0.14"
"KHARA A","1","0.14"
"KHOO MDY","1","0.13"
"KHOT R","1","0.17"
"KIDWAI Z","1","0.20"
"KIEBOU-OPEPA C","1","0.05"
"KIEFER S","1","0.09"
"KILLENGREEN ST","1","0.17"
"KILPATRICK AM","1","0.11"
"KILSHAW K","1","0.13"
"KIMMIG S","1","0.09"
"KINDBERG J","1","0.14"
"KINDVALL O","1","0.14"
"KING R","1","0.25"
"KING TW","1","0.13"
"KING WM","1","0.14"
"KINGSFORD RT","1","0.17"
"KINNISON MT","1","0.25"
"KIRK TA","1","0.14"
"KIRSCH JE","1","0.50"
"KITCHENER AC","1","0.13"
"KITTUR SA","1","0.50"
"KLEEMAN PM","1","0.33"
"KNAPE J","1","0.14"
"KNIGHT RL","1","0.25"
"KOCH JB","1","0.06"
"KOENIG WD","1","0.17"
"KOIKE F","1","0.25"
"KOIZUMI I","1","0.17"
"KOKOLE M","1","0.02"
"KOLOWSKI JM","1","0.33"
"KOLSTROM R","1","0.20"
"KOPER N","1","0.50"
"KORNER-NIEVERGELT F","1","0.17"
"KOSHIDA C","1","0.25"
"KOTOWSKA D","1","0.14"
"KOTZE R","1","0.02"
"KOVACH TJ","1","0.11"
"KPELLE DG","1","0.17"
"KRAMER DL","1","0.33"
"KREITZMAN M","1","0.25"
"KREPSCHI VG","1","0.14"
"KROFEL M","1","0.20"
"KROHNER JM","1","0.50"
"KROSS CS","1","0.17"
"KRUGER LM","1","0.20"
"KRUPINSKI D","1","0.14"
"KUHNS AR","1","0.33"
"KULAVMODE AR","1","0.33"
"KUMAR NS","1","0.25"
"KUN S","1","0.20"
"KUO RC","1","0.25"
"KUPFERMAN CA","1","0.25"
"KUTT A","1","0.07"
"KWAK TJ","1","0.17"
"KWON E","1","0.17"
"LA HAYE MJJ","1","0.25"
"LACHMAN GB","1","0.17"
"LADLE A","1","0.25"
"LAFFAILLE P","1","0.20"
"LAFFERTY DJR","1","0.11"
"LAHKAR D","1","0.20"
"LAKER J","1","0.11"
"LAMA ST","1","0.09"
"LAMB JY","1","0.33"
"LAMBERT JP","1","0.20"
"LAMICHHANE S","1","0.14"
"LAMOTHE KA","1","0.33"
"LANDERS RH","1","0.25"
"LANGELAND K","1","0.25"
"LANGMORE N","1","0.17"
"LANGTIMM CA","1","0.17"
"LAPOINTE NWR","1","0.14"
"LARKIN DJ","1","0.20"
"LARKIN JL","1","0.17"
"LAROSE SH","1","0.11"
"LARREUR M","1","0.17"
"LARRIVEE M","1","0.25"
"LASKE SM","1","0.14"
"LASSOIE JP","1","0.14"
"LAWSON CK","1","0.25"
"LEBERG PL","1","0.25"
"LEBRUN JJ","1","0.25"
"LEE BPYH","1","0.13"
"LEE DE","1","0.50"
"LEFLORE E","1","0.02"
"LEGARE ML","1","0.11"
"LEHRER EW","1","0.20"
"LEIGH DS","1","0.10"
"LEIMGRUBER P","1","0.14"
"LELE A","1","0.17"
"LEPAGE C","1","0.17"
"LEPARD CC","1","0.14"
"LERCH MD","1","0.20"
"LESLIE AJ","1","0.17"
"LESTON LFV","1","0.50"
"LEWIS C","1","0.11"
"LEWIS T","1","0.25"
"LEWIS TL","1","0.20"
"LI HL","1","0.13"
"LI JL","1","0.11"
"LI S","1","0.25"
"LI YB","1","0.20"
"LI YH","1","0.06"
"LI ZL","1","0.14"
"LIM BTM","1","0.13"
"LIM HY","1","0.11"
"LIMA C","1","0.13"
"LIMA KA","1","0.17"
"LIMA MGM","1","0.05"
"LINDELL C","1","0.20"
"LINDEMAN M","1","0.13"
"LINK A","1","0.14"
"LINNELL JDC","1","0.14"
"LIRA-NORIEGA A","1","0.07"
"LISKE-CLARK J","1","0.14"
"LITUMA CM","1","0.50"
"LIZCANO D","1","0.33"
"LKHAGVAJAV P","1","0.14"
"LKHAGVASUREN B","1","0.20"
"LLANEZA L","1","0.13"
"LLOYD JD","1","0.50"
"LOAEZA DG","1","0.07"
"LOAEZA SG","1","0.07"
"LOEB SC","1","0.33"
"LOGAN MK","1","1.00"
"LOGGINS AA","1","0.20"
"LOMAN ZG","1","0.13"
"LONG RA","1","0.25"
"LONGORIA MP","1","0.50"
"LOO AHB","1","0.13"
"LOPEZ NIG","1","0.07"
"LOPEZ-BAO JV","1","0.13"
"LOPEZ-IBORRA GM","1","0.17"
"LOPRETE L","1","0.11"
"LORRAIN-SOLIGON L","1","0.11"
"LOUPPE V","1","0.20"
"LOUW CJ","1","0.20"
"LOVERIDGE R","1","0.13"
"LOWE WH","1","0.33"
"LOY RHY","1","0.13"
"LOYN RH","1","0.07"
"LUA HK","1","0.13"
"LUCE CH","1","0.08"
"LUCHERINI M","1","0.25"
"LUISELLI L","1","1.00"
"LUKE K","1","0.11"
"LUNDGREN EJ","1","0.14"
"LUNDSTROM A","1","0.14"
"LUNGHI E","1","0.06"
"LUSK JJ","1","0.20"
"LUSKIN MS","1","0.33"
"LUTE AC","1","0.08"
"LUUKKONEN DR","1","0.25"
"LUZA AL","1","0.20"
"LYNCH HJ","1","0.11"
"LYONS JE","1","0.11"
"LYVER PO","1","0.09"
"MA KP","1","0.20"
"MAC NALLY R","1","0.07"
"MACCAFFERY M","1","0.07"
"MACCHI L","1","0.10"
"MACCLUSKIE MC","1","0.33"
"MACDONALD MA","1","0.07"
"MACFARLANE WW","1","0.25"
"MACLEAN SA","1","0.25"
"MACLENNAN S","1","0.17"
"MACLEOD AC","1","0.17"
"MACLEOD CJ","1","0.09"
"MACPHERSON J","1","0.17"
"MACVEAN SK","1","0.07"
"MADDEN H","1","0.25"
"MAERZ JC","1","0.10"
"MAESTRI R","1","0.20"
"MAFFIOLETTI C","1","0.17"
"MAGALHAES A","1","0.13"
"MAGEE PA","1","0.33"
"MAGLE SB","1","0.20"
"MAGNUSON ML","1","0.10"
"MAGOUN AJ","1","0.14"
"MAHAJAN P","1","0.25"
"MAHARJAN R","1","0.17"
"MAHER SP","1","0.50"
"MAHMOOD T","1","0.10"
"MAHONEY PJ","1","0.20"
"MAHONY MJ","1","0.33"
"MAHOOD SP","1","0.13"
"MAIR L","1","0.14"
"MAJANEVA MAM","1","0.10"
"MALHOTRA R","1","0.33"
"MALLA S","1","0.08"
"MALONE KM","1","0.25"
"MALONEY RF","1","0.20"
"MAMMO S","1","0.17"
"MANAKADAN R","1","0.33"
"MANCHL SS","1","0.25"
"MANDUJANO S","1","0.14"
"MANGAN AO","1","0.14"
"MANGIPANE BA","1","0.20"
"MANICA M","1","0.13"
"MANN GKH","1","0.11"
"MANNAN S","1","0.09"
"MANOLACHE S","1","0.11"
"MANSONS J","1","0.17"
"MAPHISA DH","1","0.33"
"MARAGLIANO RE","1","0.33"
"MARAS GA","1","0.17"
"MARBOUTIN E","1","0.20"
"MARESCOT L","1","0.20"
"MARIN RMR","1","0.07"
"MARINHO PH","1","0.20"
"MARINI MA","1","0.25"
"MARON M","1","0.07"
"MARQUEZ R","1","0.13"
"MARRA PM","1","0.25"
"MARSHAL JP","1","0.20"
"MARTA S","1","0.20"
"MARTELL D","1","0.17"
"MARTIN EH","1","0.05"
"MARTIN RL","1","0.20"
"MARTIN RW","1","0.33"
"MARTIN ZP","1","0.17"
"MARTINEZ JE","1","0.25"
"MARTINEZ JZI","1","0.20"
"MARTINEZ-MARTI C","1","0.20"
"MARTINS DJ","1","0.14"
"MARTINS Q","1","0.04"
"MASENGA EH","1","0.13"
"MASHIKO M","1","0.25"
"MASSEZ G","1","0.11"
"MASSIE DL","1","0.20"
"MASTRANGELO M","1","0.10"
"MATA JM","1","0.17"
"MATHAI J","1","0.09"
"MATIAS NR","1","0.25"
"MATICA SZ","1","0.17"
"MATTHEWS J","1","0.13"
"MATTHEWS KR","1","0.20"
"MATTHEWS SM","1","0.25"
"MATTSSON BJ","1","0.25"
"MAUDE G","1","0.02"
"MAURER BA","1","0.20"
"MAVOUNGOU JG","1","0.06"
"MAY J","1","0.11"
"MAY RF","1","0.13"
"MAZUMDAR S","1","0.33"
"MAZZAMUTO MV","1","0.08"
"MCALPINE-BELLIS E","1","0.20"
"MCANEY K","1","0.17"
"MCCAIN CM","1","0.50"
"MCCALL AH","1","0.07"
"MCCARTHY JL","1","0.25"
"MCCARTHY KP","1","0.25"
"MCCUNE F","1","0.25"
"MCDONALD Z","1","0.20"
"MCFARLANE K","1","0.02"
"MCINTYRE CL","1","0.33"
"MCKAY M","1","0.17"
"MCKELVEY K","1","0.25"
"MCKERROW AJ","1","0.33"
"MCKINLEY TJ","1","0.06"
"MCLEOD MA","1","0.33"
"MCNULTY S","1","0.20"
"MCPHEE SR","1","0.13"
"MEDDENS AJH","1","0.25"
"MEIJAARD E","1","0.09"
"MELERO Y","1","0.25"
"MELLIN C","1","0.09"
"MELOTTO A","1","0.06"
"MENA JL","1","0.14"
"MENDES CP","1","0.25"
"MENESES LO","1","0.13"
"MENGEL DC","1","0.25"
"MENKE S","1","0.20"
"METCALFE K","1","0.06"
"METTLER AJ","1","0.14"
"MICHAEL D","1","0.14"
"MIDDLETON AD","1","0.25"
"MIDLANE N","1","0.20"
"MIDWAY SR","1","0.50"
"MIDWOOD JD","1","0.14"
"MIKUSINSKI G","1","0.20"
"MILANOVICH JR","1","0.25"
"MILLER DA","1","0.13"
"MILLER TJ","1","0.25"
"MILLERET C","1","0.05"
"MILLS B","1","0.11"
"MILLS G","1","0.02"
"MILLS SC","1","0.20"
"MILNER RL","1","0.11"
"MILNER-GULLAND EJ","1","0.20"
"MILTON DA","1","0.14"
"MIMNAGH N","1","0.25"
"MIRANDA LE","1","0.25"
"MIRITIS V","1","0.20"
"MITAI K","1","0.25"
"MITCHELL BR","1","0.25"
"MITCHELL SL","1","0.20"
"MJINGO EE","1","0.13"
"MKASANGA IJ","1","0.17"
"MOE K","1","0.08"
"MOHD-AZLAN J","1","0.13"
"MOHREN SR","1","0.10"
"MOLINA FM","1","0.07"
"MOLINA GM","1","0.07"
"MOLINA UM","1","0.07"
"MOLINA YM","1","0.07"
"MOLTENI R","1","0.20"
"MONROE KD","1","0.17"
"MONROY-HERNANDEZ E","1","0.20"
"MONTALTI D","1","0.33"
"MOORE JA","1","0.14"
"MOORE JE","1","0.50"
"MOORE SM","1","0.14"
"MOORMAN CE","1","0.25"
"MORALES J","1","0.11"
"MORAPEDI M","1","0.02"
"MOREIRA-ARCE D","1","0.13"
"MORGAN BJT","1","0.14"
"MORGAN S","1","0.02"
"MORI E","1","0.20"
"MORIARTY KM","1","0.14"
"MORIN DJ","1","0.25"
"MORREALE SJ","1","0.14"
"MORRISON ML","1","0.25"
"MORRISON SA","1","0.20"
"MORTON DC","1","0.33"
"MOS J","1","0.50"
