"Authors","Articles","Articles Fractionalized"
"BERGAMINI A","2","0.50"
"BERNARD H","2","0.29"
"BESNARD A","2","0.37"
"BETTOLI PW","2","0.53"
"BISCHOF R","2","0.25"
"BISHOP AA","2","0.40"
"BISI F","2","0.19"
"BLEISCH WV","2","0.67"
"BOHNETT ET","2","0.28"
"BOTSCH Y","2","0.50"
"BRADSTOCK RA","2","0.50"
"BRANCH LC","2","0.50"
"BREHME CS","2","0.33"
"BREWER SK","2","0.75"
"BROWN ME","2","0.31"
"BUEHLER DA","2","0.67"
"BURTON AC","2","0.42"
"CABODEVILLA X","2","0.40"
"CALLAS RL","2","0.75"
"CAMINO M","2","0.29"
"CAMPBELL TA","2","0.42"
"CARROLL JP","2","0.67"
"CARTER N","2","0.53"
"CEPEK JD","2","0.31"
"CHERKISS MS","2","0.22"
"CHIARELLO AG","2","0.31"
"CHRISTENSEN SA","2","0.58"
"CLARK AE","2","0.83"
"COATES PS","2","0.38"
"CONROY MJ","2","0.42"
"CONTRERAS F","2","0.37"
"CONZE KJ","2","0.11"
"COOPER RJ","2","0.45"
"CORRALES-GUTIERREZ D","2","0.22"
"COVE MV","2","0.25"
"CRAWFORD JA","2","0.58"
"CREMONESI G","2","0.19"
"CRUZ P","2","0.11"
"CURVEIRA-SANTOS G","2","0.42"
"CUSHMAN SA","2","0.45"
"DAIL D","2","1.00"
"DAVIES HF","2","0.22"
"DAVIS CL","2","0.21"
"DE PINHO FF","2","0.27"
"DE VALPINE P","2","0.75"
"DELLE MONACHE D","2","0.30"
"DELUCA WV","2","0.83"
"DENNIS PM","2","0.31"
"DI BITETTI MS","2","0.11"
"DICKMAN AJ","2","0.34"
"DICKSON BG","2","0.27"
"DORAZIO RM","2","0.75"
"DUARTE A","2","0.34"
"EDWARDS DP","2","0.31"
"ELLIOT NB","2","0.24"
"FARRIS SC","2","0.31"
"FAULKNER SP","2","0.67"
"FERREIRA GB","2","0.27"
"FERRERAS P","2","0.40"
"FIRTH RSC","2","0.22"
"FISHER RN","2","0.33"
"FISHER S","2","0.38"
"FOGARTY FA","2","0.70"
"FONSECA CR","2","0.33"
"FONTAINE JJ","2","0.40"
"FOURNIER V","2","0.50"
"FRANKLIN MJM","2","0.50"
"FYUMAGWA R","2","0.33"
"GAFFI L","2","0.19"
"GAGLIARDI A","2","0.19"
"GALLO T","2","0.39"
"GALVEZ N","2","0.28"
"GANN SL","2","0.25"
"GE JP","2","0.27"
"GEYLE HM","2","0.22"
"GIBERTINI C","2","0.24"
"GIELEN MC","2","0.22"
"GILBERT AT","2","0.28"
"GILROY JJ","2","0.31"
"GIMENEZ O","2","0.40"
"GIORDANO AJ","2","0.63"
"GOLDBERG CS","2","0.57"
"GOLDSTEIN BR","2","0.83"
"GOMEZ-VALENCIA B","2","0.29"
"GOPALASWAMY AM","2","0.36"
"GOVINDAN BN","2","0.83"
"GRAVES TA","2","0.23"
"GREEN AW","2","0.58"
"GUZY JC","2","0.42"
"HACKETT CE","2","0.31"
"HAGEN CA","2","0.75"
"HALLORAN KM","2","0.42"
"HALSTEAD BJ","2","0.43"
"HANDEL CM","2","0.53"
"HARMSEN BJ","2","0.09"
"HARRIS NC","2","0.83"
"HEBBLEWHITE M","2","0.38"
"HENSCHEL P","2","0.37"
"HILEMAN ET","2","0.29"
"HILL JM","2","1.00"
"HOCHACHKA WM","2","0.33"
"HOCTOR T","2","0.28"
"HOFMEESTER TR","2","0.64"
"HOLLAND AM","2","0.50"
"HOLLOWAY-ADKINS KG","2","0.25"
"HULSE D","2","0.28"
"HUNTSMAN BM","2","0.44"
"HURTADO-ASTAIZA J","2","0.40"
"IMS RA","2","0.58"
"JACHOWSKI DS","2","0.58"
"JACKSON CR","2","0.23"
"JANSEN PA","2","0.14"
"JENNI L","2","0.50"
"JNAWALI SR","2","0.17"
"JOHNSINGH AJT","2","0.39"
"JOHNSON DS","2","0.50"
"JOHNSON M","2","0.31"
"JOSHI AA","2","0.34"
"JUBILI J","2","0.15"
"KALIES EL","2","0.63"
"KANNO Y","2","0.44"
"KARANTH KU","2","0.75"
"KASZTA Z","2","0.45"
"KNUTSON MG","2","0.70"
"KOCH JC","2","0.34"
"KRAMER-SCHADT S","2","0.16"
"LAGAN P","2","0.21"
"LAMBIN X","2","0.67"
"LEASURE DR","2","1.08"
"LEGARE SA","2","0.25"
"LEON-ORTEGA M","2","0.42"
"LETCHER BH","2","0.44"
"LEU M","2","0.39"
"LI XY","2","0.67"
"LIETZ R","2","0.15"
"LINDENMAYER DB","2","0.64"
"LINK WA","2","0.70"
"LITT AR","2","0.50"
"LOFFLAND HL","2","0.23"
"LOMBARDI JV","2","0.42"
"LORCH PD","2","0.31"
"LOUVRIER JLP","2","0.26"
"LUTHER DA","2","0.42"
"LYET A","2","0.37"
"MADSEN EK","2","0.63"
"MADSEN L","2","1.00"
"MANLEY PN","2","0.39"
"MARTIN JA","2","0.63"
"MARTINOLI A","2","0.19"
"MASOZERA MK","2","0.39"
"MBISANA C","2","0.53"
"MCCAFFERY R","2","0.83"
"MCCARTHY MA","2","0.24"
"MCCREARY B","2","0.34"
"MCGRANN MC","2","1.00"
"MCNUTT JW","2","0.22"
"MEYER NFV","2","0.29"
"MICHEL NL","2","0.36"
"MILLS DR","2","0.42"
"MISHRA C","2","0.29"
"MOHAMED A","2","0.17"
"MOLLENHAUER R","2","0.75"
"MONADJEM A","2","0.40"
"MONROE AP","2","0.38"
"MONTERROSO P","2","0.40"
"MOORE JF","2","0.39"
"MORAL RA","2","0.45"
"MORDECAI RS","2","0.45"
"MORENO R","2","0.29"
"MOSHER BA","2","0.45"
"MULINDAHABI F","2","0.39"
"MURPHY AJ","2","0.31"
"MURPHY BP","2","0.22"
"MWAMPETA SB","2","0.33"
"NEUBAUER G","2","0.75"
"NIEDBALLA J","2","0.17"
"NOWAK JJ","2","0.67"
"O'BRIEN T","2","0.38"
"O'BRYAN CJ","2","0.50"
"O'CONNELL AF","2","0.28"
"O'DONNELL KM","2","0.67"
"O'NEIL ST","2","0.33"
"OBER HK","2","0.42"
"ODDY DM","2","0.25"
"OJA E","2","0.32"
"OLDEN JD","2","0.42"
"OLIVA-PATERNA FJ","2","0.45"
"OLIVEIRA MJR","2","0.27"
"ORMSBEE PC","2","0.33"
"PAVIOLO A","2","0.11"
"PEARL CA","2","0.34"
"PEJCHAR L","2","0.50"
"PEREIRA-RIBEIRO J","2","0.42"
"PETROELJE TR","2","0.28"
"PETRUS A","2","0.15"
"POTOKA KM","2","0.53"
"PREATONI DG","2","0.19"
"RAGHUNATH R","2","0.39"
"RAMIREZ-CRUZ GA","2","1.25"
"RATELOLAHY F","2","0.39"
"REED RN","2","0.27"
"REICHERT BE","2","0.33"
"RENDALL AR","2","0.37"
"REYNA-HURTADO R","2","0.29"
"RITCHIE EG","2","0.31"
"ROBINSON SK","2","0.50"
"ROBISON T","2","0.31"
"ROCHA CFD","2","0.42"
"RODEL MO","2","0.38"
"ROMANO A","2","0.53"
"RORABAUGH J","2","0.18"
"ROSA G","2","1.20"
"ROTELLA JJ","2","0.40"
"ROTENBERRY JT","2","0.75"
"ROWE JC","2","0.34"
"RUSH SA","2","0.38"
"SAAB VA","2","0.40"
"SALOM-PEREZ R","2","0.22"
"SAM MK","2","0.42"
"SAUNDERS SP","2","0.50"
"SAVINI T","2","0.50"
"SCHAUB M","2","0.58"
"SCHERER RD","2","0.39"
"SCHMERA D","2","0.53"
"SCHMUTZ JA","2","0.40"
"SCHUTTLER SG","2","0.29"
"SEGLUND AE","2","0.45"
"SIKUI J","2","0.38"
"SLOTOW R","2","0.42"
"SMITH JLD","2","0.27"
"SNYMAN A","2","0.19"
"SPARKS RA","2","0.50"
"SURYAWANSHI KR","2","0.29"
"SWANEPOEL LH","2","0.42"
"TALANCY NW","2","0.28"
"TERMAAT T","2","0.39"
"THAPA GJ","2","0.17"
"THOGMARTIN WE","2","1.50"
"THORNTON JE","2","0.50"
"THORSON JT","2","0.36"
"TOBLER MW","2","0.27"
"TYRE AJ","2","0.42"
"VALENTE JJ","2","0.63"
"WAGNER T","2","0.70"
"WANG F","2","0.38"
"WANG TM","2","0.27"
"WAUTERS LA","2","0.19"
"WEBB EB","2","0.39"
"WEGAN MT","2","0.53"
"WEISS SK","2","0.25"
"WENGER SJ","2","0.25"
"WHITE AM","2","0.39"
"WHITTINGTON J","2","0.29"
"WILKERSON RL","2","0.50"
"WILLIAMS DM","2","0.58"
"WIPFLI MS","2","0.34"
"WOINARSKI JCZ","2","0.22"
"WRIGHT AD","2","0.40"
"WRIGHT WJ","2","0.50"
"YACKULIC CB","2","0.42"
"YOCCOZ NG","2","0.29"
"ZAMORA-LOPEZ A","2","0.45"
"ZAMORA-MARIN JM","2","0.45"
"ZAW T","2","0.19"
"ZOU FS","2","0.53"
"ZUCKERBERG B","2","0.50"
"ABELLAN P","1","0.17"
"ABIDIN TR","1","0.11"
"ABU BAKAR MS","1","0.11"
"ACEVEDO P","1","0.25"
"ACHARYA BP","1","0.08"
"ADAMS AAY","1","0.14"
"ADAMS LG","1","0.25"
"ADAMS T","1","0.02"
"ADDISON L","1","0.11"
"AGUZZI S","1","0.25"
"AHLERS AA","1","0.17"
"AHMAD T","1","0.10"
"AHMED MF","1","0.20"
"AKAMPURIRA E","1","0.05"
"AKKAWI P","1","0.25"
"AKRE TA","1","0.17"
"AKRIM F","1","0.10"
"ALAKOSKI R","1","0.25"
"ALANIZ AJ","1","0.13"
"ALCOVERRO T","1","0.20"
"ALDRIDGE CA","1","0.25"
"ALDRIDGE CL","1","0.25"
"ALEN LH","1","0.07"
"ALEXANDER BW","1","0.50"
"ALEXSANDER JS","1","0.14"
"ALI H","1","0.20"
"ALI MW","1","0.10"
"ALLENDER MC","1","0.14"
"ALMBERG ES","1","0.25"
"ALVAREZ-LOAYZA P","1","0.07"
"ALVES F","1","0.17"
"ALVES PC","1","0.20"
"AMAN J","1","0.25"
"AMBU L","1","0.13"
"AMBURGEY SM","1","0.13"
"AMELON SK","1","0.25"
"AMGALANBAATAR S","1","0.20"
"AMIR Z","1","0.33"
"AMRHEIN V","1","0.50"
"ANADON JD","1","0.17"
"ANCILLOTTO L","1","0.20"
"ANDERSEN AN","1","0.11"
"ANDERSEN DE","1","0.33"
"ANDERSEN EM","1","0.50"
"ANDERSON J","1","0.13"
"ANDERSON K","1","0.33"
"ANDERSON TL","1","0.20"
"ANDRADE-PONCE GP","1","0.14"
"ANDREN H","1","0.14"
"ANDREONE F","1","0.06"
"ANDRES BA","1","0.11"
"ANDRETTI CB","1","0.11"
"ANH NQH","1","0.17"
"ANNAND EM","1","0.11"
"ANTONGIOVANNI M","1","0.20"
"APPLEGATE RD","1","0.17"
"APTE D","1","0.17"
"AQUINO J","1","0.07"
"ARAGON S","1","0.33"
"ARASUMANI M","1","0.17"
"ARAYA-GAMBOA D","1","0.17"
"ARES-PEREIRA G","1","0.13"
"ARIAS LNC","1","0.33"
"ARIEFIANDY A","1","0.20"
"ARMENTERAS D","1","0.25"
"ARTHUR R","1","0.20"
"ARYAL A","1","0.20"
"ASBECK T","1","0.20"
"ASCENSAO F","1","0.25"
"ASHE E","1","0.11"
"ASTARAS C","1","0.20"
"ASTROM J","1","0.10"
"AUGUGLIARO C","1","0.20"
"AUNG Z","1","0.08"
"AUSBAND DE","1","0.50"
"AUTHIER M","1","0.11"
"AWAN MN","1","0.10"
"AYALA G","1","0.13"
"AZIZ R","1","0.10"
"BAGNALL KE","1","0.14"
"BAI LZ","1","0.13"
"BAILEY AM","1","0.25"
"BAKER CCM","1","0.06"
"BAKER-WHATTON MC","1","0.13"
"BAL G","1","0.06"
"BALAGUERA-REINA SA","1","0.33"
"BALCHIN GP","1","0.06"
"BALDWIN J","1","0.14"
"BALKENHOL N","1","0.20"
"BALL-DAMEROW JE","1","0.25"
"BANCILA RI","1","0.25"
"BANI L","1","0.25"
"BANKS WT","1","0.25"
"BANNER KM","1","0.17"
"BAR DAVID S","1","0.17"
"BARAO-NOBREGA JAL","1","0.33"
"BARIBEAU A","1","0.33"
"BARIK S","1","0.33"
"BARNAS GR","1","0.20"
"BARNETT J","1","0.17"
"BARNHART PD","1","0.14"
"BARNICK KA","1","0.25"
"BARRETO E","1","0.25"
"BARROS Y","1","0.07"
"BARROWS C","1","0.25"
"BARTA B","1","0.20"
"BARTON CD","1","0.20"
"BARTON DC","1","0.20"
"BARTOSZEK IA","1","0.14"
"BARTZ KK","1","0.20"
"BASHYAL A","1","0.14"
"BASILE M","1","0.20"
"BATA MN","1","0.20"
"BAUDER JM","1","0.25"
"BAUER D","1","0.02"
"BAUMANN K","1","0.05"
"BAUMANN P","1","0.17"
"BEASLEY EM","1","0.50"
"BECHET A","1","0.20"
"BEDOYA-DURAN MJ","1","0.33"
"BEDRINANA-ROMANO L","1","0.11"
"BEGUM RH","1","0.20"
"BEIER P","1","0.17"
"BEILKE S","1","0.33"
"BEJRABURNIN T","1","0.17"
"BEKKER DL","1","0.25"
"BELISLE M","1","0.25"
"BELL CM","1","0.06"
"BELLIER E","1","0.33"
"BELLINGHAM PJ","1","0.09"
"BELLUARDO F","1","0.10"
"BENCE JR","1","0.25"
"BENITEZ-MALVIDO J","1","0.20"
"BENKEN T","1","0.05"
"BENNETT RE","1","0.13"
"BENNITT E","1","0.02"
"BENOIT D","1","0.33"
"BENSON TJ","1","0.17"
"BERBERICH ME","1","0.20"
"BERG A","1","0.14"
"BERNARDOS JN","1","0.25"
"BERNEY C","1","0.17"
"BERSACOLA E","1","0.25"
"BERTHIER K","1","0.14"
"BERTRAM MR","1","0.20"
"BEYTELL PC","1","0.17"
"BEZERRA D","1","0.20"
"BHATNAGAR YV","1","0.14"
"BHATTA SR","1","0.08"
