Element,h_index,g_index,m_index,TC,NP,PY_start
CALDERON AP,1,1,0.167,32,1,2018
CALDERON-PARRA R,1,1,0.333,1,1,2021
CALL EM,1,1,0.25,4,1,2020
CAM E,1,1,0.077,78,1,2011
CAMERON AD,1,1,0.25,3,1,2020
CAMPA H,1,1,0.111,13,1,2015
CAMPBELL RD,1,1,0.125,12,1,2016
CANDELARIO L,1,1,0.143,12,1,2017
CANEDOLI C,1,1,0.167,53,1,2018
CANNINGS S,1,1,0.25,19,1,2020
CAPUTO B,1,1,0.2,7,1,2019
CARAZO-SALAZAR J,1,1,0.167,32,1,2018
CARDENAS JS,1,1,0.111,50,1,2015
CARLE RD,1,1,0.25,1,1,2020
CARRETERO MA,1,1,0.167,53,1,2018
CARRILLO-PERCASTEGUI SE,1,1,0.111,113,1,2015
CARRILLO-RUBIO E,1,1,0.1,21,1,2014
CARROLL CR,1,1,0.071,26,1,2010
CARTER SP,1,1,0.5,1,1,2022
CARVALHO EAR,1,1,0.333,1,1,2021
CASHINS SD,1,1,0.111,4,1,2015
CASPER AF,1,1,0.125,9,1,2016
CASSEL KW,1,1,0.2,2,1,2019
CASTANEDA F,1,1,0.167,32,1,2018
CASTANEDA PGD,1,1,0.111,50,1,2015
CASTILLO JA,1,1,0.167,6,1,2018
CASTLEBERRY SB,1,1,0.091,19,1,2013
CASTRO G,1,1,0.5,1,1,2022
CATLIN DH,1,1,0.167,4,1,2018
CATTERALL CP,1,1,0.111,30,1,2015
CAVADA N,1,1,0.2,19,1,2019
CAYUELA H,1,1,0.083,34,1,2012
CECALA KK,1,1,0.167,15,1,2018
CERQUEIRA MC,1,1,0.091,11,1,2013
CHADWICK A,1,1,0.5,1,1,2022
CHAMBERT T,1,1,0.143,20,1,2017
CHAN KMA,1,1,0.5,1,1,2022
CHANDLER RE,1,1,0.167,30,1,2018
CHANDRA K,1,1,0.5,1,1,2022
CHASE M,1,1,0.5,3,1,2022
CHELGREN ND,1,1,0.2,13,1,2019
CHEN GK,1,1,0.091,102,1,2013
CHEN MH,1,1,0.111,11,1,2015
CHENIER C,1,1,0.167,4,1,2018
CHESTNUT T,1,1,0.2,1,1,2019
CHETKIEWICZ CLB,1,1,0.167,4,1,2018
CHIRIAC S,1,1,0.143,13,1,2017
CHRISTENSEN SA,1,1,0.333,3,2,2021
CIOCANEA C,1,1,0.2,7,1,2019
CIOFI C,1,1,0.091,28,1,2013
CLARK DA,1,1,0.091,38,1,2013
CLARKE MF,1,1,0.111,30,1,2015
CLEMENT MJ,1,1,0.091,19,1,2013
CLEMENTS GR,1,1,0.333,4,1,2021
CLEO F,1,1,0.5,1,1,2022
CLIPP HL,1,1,0.333,2,1,2021
CLISBY N,1,1,0.111,2,1,2015
COBB DT,1,1,0.167,1,1,2018
COBOS C,1,1,0.5,1,1,2022
CODE S,1,1,0.125,9,1,2016
COETSEE AL,1,1,0.25,9,1,2020
COGALNICEANU D,1,1,0.143,7,1,2017
COHEN MM,1,1,0.25,1,1,2020
COHN-HAFT M,1,1,0.091,11,1,2013
COLEMAN M,1,1,0.1,26,1,2014
COLLINS K,1,1,0.5,3,1,2022
COLODRO V,1,1,0.25,1,1,2020
COLVIN ME,1,1,0.25,4,1,2020
COMBRISSON D,1,1,0.333,2,1,2021
COMER CE,1,1,0.143,35,1,2017
COMLEY J,1,1,0.333,6,1,2021
COMPOSTELLA C,1,1,0.125,10,1,2016
COMPTON JA,1,1,0.5,2,1,2022
CONNER MM,1,1,0.111,30,1,2015
CONTRERAS F,1,1,0.2,3,2,2019
CONWAY WC,1,1,0.143,35,1,2017
COOCH EG,1,1,0.1,21,1,2014
COOK R,1,1,0.056,148,1,2006
COOK RN,1,1,0.25,5,1,2020
COOKE SJ,1,1,0.167,9,1,2018
COOKSLEY SL,1,1,0.1,5,1,2014
COON CAC,1,1,0.25,5,1,2020
COOP JD,1,1,0.2,2,1,2019
COOPER WJ,1,1,0.25,10,1,2020
COPE WG,1,1,0.125,6,1,2016
COPELAND HE,1,1,0.167,3,1,2018
CORCORAN D,1,1,0.333,4,1,2021
CORLETT RT,1,1,0.25,6,1,2020
CORRAL L,1,1,0.5,2,1,2022
COSTA S,1,1,0.5,1,1,2022
COSTA TVV,1,1,0.091,11,1,2013
COULSON T,1,1,0.143,41,1,2017
COUTO TBD,1,1,0.167,18,1,2018
COUTURIER T,1,1,0.333,2,1,2021
COVE MV,1,1,0.5,2,2,2022
COZZI G,1,1,0.5,3,1,2022
CRABTREE RL,1,1,0.167,3,1,2018
CRAMPTON LH,1,1,0.143,4,1,2017
CRAWFORD CL,1,1,0.143,20,1,2017
CREGO RD,1,1,0.25,13,1,2020
CREMONESI G,1,1,0.333,3,2,2021
CROMSIGT JPGM,1,1,0.333,6,1,2021
CRONE E,1,1,0.5,1,1,2022
CROOSE E,1,1,0.5,1,1,2022
CROSBY AD,1,1,0.167,3,1,2018
CROVETTO F,1,1,0.2,4,1,2019
CROWE A,1,1,0.125,269,1,2016
CRUICKSHANK SS,1,1,0.333,4,1,2021
CRUZ J,1,1,0.5,1,1,2022
CRUZ P,1,2,0.143,69,2,2017
CUMMING GS,1,1,0.2,1,1,2019
CUNNINGHAM R,1,1,0.125,18,1,2016
CURRAS MR,1,1,0.333,1,1,2021
CURTIS PD,1,1,0.071,99,1,2010
CURVEIRA-SANTOS G,1,2,0.333,12,2,2021
CUSACK JJ,1,1,0.143,41,1,2017
CWYNAR B,1,1,0.5,1,1,2022
D'SOUZA E,1,1,0.091,20,1,2013
DAILY GC,1,1,0.167,9,1,2018
DANIELSON BJ,1,1,0.1,3,1,2014
DAS SK,1,1,0.333,7,1,2021
DASKIN JH,1,1,0.333,9,1,2021
DAUWALTER DC,1,1,0.2,13,1,2019
DAVEY ML,1,1,0.5,1,1,2022
DAVIDSON I,1,1,0.111,30,1,2015
DAVIES ZG,1,1,0.125,18,1,2016
DAVIS R,1,1,0.125,34,1,2016
DAVIS RJ,1,1,0.333,2,1,2021
DAWSON FN,1,1,0.167,4,1,2018
DAWSON RD,1,1,0.056,17,1,2006
DE ANGELO C,1,1,0.5,1,1,2022
DE KNIJF G,1,1,0.2,48,1,2019
DE LA TORRE JA,1,1,0.25,13,1,2020
DE OLIVEIRA TV,1,1,0.167,7,1,2018
DE ORNELLAS P,1,1,0.25,13,1,2020
DE VALPINE P,1,2,0.167,11,2,2018
DEBOER JA,1,1,0.125,9,1,2016
DECHNER A,1,1,0.167,7,1,2018
DEEPAK V,1,1,0.111,1,1,2015
DEERE NJ,1,1,0.2,26,1,2019
DEGAETANO AT,1,1,0.077,88,1,2011
DELANEY KS,1,1,0.333,4,1,2021
DELEHANTY DJ,1,1,0.167,11,1,2018
DELLA TORRE A,1,1,0.2,7,1,2019
DEMETRIO CGB,1,1,0.167,3,1,2018
DENNIS EB,1,1,0.2,29,1,2019
DENSMORE LD,1,1,0.333,1,1,2021
DEPERNO CS,1,1,0.333,2,1,2021
DEPPE JL,1,1,0.167,7,1,2018
DERLINDATI E,1,1,0.111,41,1,2015
DEVERS PK,1,1,0.25,1,1,2020
DEVESON E,1,1,0.111,36,1,2015
DEVICTOR V,1,1,0.083,34,1,2012
DEWAN A,1,1,0.067,233,1,2009
DEXTRASE AJ,1,1,0.2,5,1,2019
DEY DK,1,1,0.111,11,1,2015
DHANJAL-ADAMS KL,1,1,0.2,5,1,2019
DI BITETTI MS,1,2,0.143,69,2,2017
DI BLANCO Y,1,1,0.25,10,1,2020
DI NICOLA MR,1,1,0.5,3,1,2022
DIANA A,1,1,0.5,1,1,2022
DIAO YX,1,1,0.5,1,1,2022
DIAS DD,1,1,0.25,7,1,2020
DIAZ-PANIAGUA C,1,1,0.071,7,1,2010
DICKINSON JL,1,1,0.077,88,1,2011
DIEFENBACH DR,1,1,0.1,8,1,2014
DIEGMANN JS,1,1,0.143,4,1,2017
DINSMORE SJ,1,1,0.125,12,1,2016
DISTILLER G,1,1,0.333,1,1,2021
DLONIAK SM,1,1,0.5,1,1,2022
DOBBINS M,1,1,0.25,10,1,2020
DOBKIN DS,1,1,0.143,5,1,2017
DOBROWSKI SZ,1,1,0.125,35,1,2016
DOHERTY TS,1,1,0.25,9,1,2020
DOKA SE,1,1,0.167,9,1,2018
DOLEV A,1,1,0.25,1,1,2020
DOMINGUEZ AFR,1,1,0.167,10,1,2018
DONADIO E,1,1,0.333,1,1,2021
DONNELLY D,1,1,0.1,5,1,2014
DONOVAN TM,1,1,0.067,10,1,2009
DOS SANTOS LR,1,1,0.2,6,1,2019
DRAKE D,1,1,0.5,1,1,2022
DRAKE DAR,1,1,0.2,5,1,2019
DRAKE DL,1,1,0.1,29,1,2014
DRAKE KL,1,1,0.125,15,1,2016
DRAPEAU P,1,1,0.1,21,1,2014
DREW K,1,1,0.1,26,1,2014
DREWS A,1,1,0.333,17,1,2021
DRISCOLL DA,1,1,0.111,9,1,2015
DROEGE S,1,1,0.045,3047,1,2002
DROUILLY M,1,1,0.167,25,1,2018
DU PREEZ P,1,1,0.125,5,1,2016
DUARTE A,1,2,0.2,14,2,2019
DUARTE LD,1,1,0.167,9,1,2018
DUBOUR AJ,1,1,0.111,9,1,2015
DUCHAC LS,1,1,0.333,2,1,2021
DUCKWORTH GD,1,1,0.167,7,1,2018
DUCLOS TR,1,1,0.2,17,1,2019
DUDLEY JG,1,1,0.125,16,1,2016
DUNCAN RP,1,1,0.1,26,1,2014
DUNHAM JB,1,1,0.2,13,1,2019
DUNNING JB,1,1,0.125,20,1,2016
DUPUIS JA,1,1,0.077,2,1,2011
DURSO AM,1,1,0.091,22,1,2013
DYBALA KE,1,1,0.111,10,1,2015
EAKIN CJ,1,1,0.111,13,1,2015
EAMES JC,1,1,0.2,1,1,2019
EASTER T,1,1,0.2,10,1,2019
EATON MJ,1,1,0.2,5,1,2019
EDELBLUTTE E,1,1,0.25,5,1,2020
EDWARDS DP,1,2,0.111,50,2,2015
EICHELBERGER BA,1,1,0.25,2,1,2020
EICHENBERG D,1,1,0.333,17,1,2021
ELLIOT NB,1,2,0.25,9,2,2020
ELLIOTT-SMITH E,1,1,0.083,13,1,2012
ELLIS M,1,1,0.25,5,1,2020
ELLIS MM,1,1,0.2,5,1,2019
ELSEY EA,1,1,0.2,9,1,2019
ELSTON DA,1,1,0.091,16,1,2013
EMERSON SA,1,1,0.5,3,1,2022
ENDRESTOL A,1,1,0.5,1,1,2022
ENGILIS A,1,1,0.111,10,1,2015
EPPS CW,1,1,0.167,6,1,2018
ER KBH,1,1,0.333,1,1,2021
ERICKSON KD,1,1,0.333,12,1,2021
ESPINOZA-MUNOZ D,1,1,0.333,4,1,2021
ESSER HJ,1,1,0.25,13,1,2020
ESTEVE MA,1,1,0.2,7,1,2019
ESTEVO CA,1,1,0.143,14,1,2017
EVANS AL,1,1,0.333,2,1,2021
EVANS JM,1,1,0.077,78,1,2011
EVENSON JR,1,1,0.083,13,1,2012
EWERS RM,1,1,0.143,55,1,2017
EYSTER HN,1,1,0.5,1,1,2022
FAGAN WF,1,1,0.083,86,1,2012
FAISAL MM,1,1,0.333,5,1,2021
FALCONER CM,1,1,0.125,15,1,2016
FALCY MR,1,1,0.1,3,1,2014
FALLON FW,1,1,0.091,14,1,2013
FALLON JE,1,1,0.091,14,1,2013
FANDJINOU K,1,1,0.333,1,1,2021
FARACI F,1,1,0.5,3,1,2022
FARHADINIA MS,1,1,0.143,68,1,2017
FARNSWORTH ML,1,1,0.143,5,1,2017
FARRELL S,1,1,0.333,2,1,2021
FARRIS SC,1,2,0.2,13,2,2019
FATTEBERT J,1,1,0.2,32,1,2019
FAUST LJ,1,1,0.167,27,1,2018
FAY G,1,1,0.333,2,1,2021
FEARER T,1,1,0.2,6,1,2019
FEDY BC,1,1,0.167,3,1,2018
FENG JW,1,1,0.333,7,1,2021
FENG LM,1,1,0.2,21,1,2019
FENG RN,1,1,0.2,21,1,2019
FERREIRA MAR,1,1,0.125,103,1,2016
FERRERAS P,1,2,0.25,39,2,2020
FESENMYER KA,1,1,0.2,13,1,2019
FIDINO M,1,1,0.25,12,1,2020
FIELD SA,1,1,0.048,539,1,2003
FIGEL JJ,1,1,0.2,11,1,2019
FIGURA PJ,1,1,0.5,6,1,2022
FILIPPONI F,1,1,0.2,7,1,2019
FINEGAN B,1,1,0.333,4,1,2021
FINERTY GE,1,1,0.5,3,1,2022
FISCHER RA,1,1,0.091,31,1,2013
FISHER AC,1,1,0.1,11,1,2014
FITKIN S,1,1,0.25,9,1,2020
FLEMING KD,1,1,0.083,2,1,2012
FLEMING TL,1,1,0.071,27,1,2010
FLESCHUTZ MM,1,1,0.125,18,1,2016
FLESHER KM,1,1,0.167,7,1,2018
FLYMAN MV,1,1,0.5,3,1,2022
FOGARTY FA,1,2,0.333,4,2,2021
FOGELL DJ,1,1,0.333,5,1,2021
FOLETTO F,1,1,0.5,1,1,2022
FONSECA CR,1,2,0.167,13,2,2018
FORD WM,1,1,0.2,6,1,2019
FORDHAM DA,1,1,0.111,2,1,2015
FORERO-MEDINA G,1,1,0.2,11,1,2019
FOSS C,1,1,0.333,2,1,2021
FOSSOY F,1,1,0.5,1,1,2022
FOSTER LJ,1,1,0.167,11,1,2018
FOSTER RJ,1,1,0.167,32,1,2018
FOSTER S,1,1,0.2,29,1,2019
FOWLER AJ,1,1,0.111,2,1,2015
FOWLER NL,1,1,0.333,4,1,2021
FOX R,1,1,0.2,29,1,2019
FRANCISCO DR,1,1,0.25,39,1,2020
FRANKLIN AB,1,1,0.048,1184,1,2003
FRANKLIN E,1,1,0.25,4,1,2020
FRASER JD,1,1,0.167,4,1,2018
FREEMAN MC,1,1,0.167,3,1,2018
FREIRE JDM,1,1,0.333,1,1,2021
FREY SJK,1,1,0.125,40,1,2016
FRIMPONG EA,1,1,0.077,27,1,2011
FRINK TJ,1,1,0.5,2,1,2022
FRISCH JR,1,1,0.167,15,1,2018
FRITTS MW,1,1,0.125,9,1,2016
FROEHLY JL,1,1,0.2,6,1,2019
FUJISAKI I,1,1,0.083,7,1,2012
FULLER RA,1,1,0.2,5,1,2019
FUNES MC,1,1,0.111,6,1,2015
FUNSTON PJ,1,1,0.25,8,1,2020
FURTADO MM,1,1,0.083,64,1,2012
GAFFI L,1,1,0.333,3,2,2021
GAGLIARDI A,1,1,0.333,3,2,2021
GAIGHER R,1,1,0.25,7,1,2020
GAL B,1,1,0.333,4,1,2021
GALETTI M,1,1,0.25,10,1,2020
GALLO S,1,1,0.25,4,1,2020
GALLO T,1,2,0.167,9,2,2018
GALVAN SK,1,1,0.2,13,1,2019
GAMEZ S,1,1,0.333,5,1,2021
GANTCHOFF MG,1,1,0.125,12,1,2016
GARCES-VARGAS J,1,1,0.167,13,1,2018
GARCIA EJ,1,1,0.125,10,1,2016
GARCIA JM,1,1,0.333,1,1,2021
GARCIA K,1,1,0.25,1,1,2020
GARCIA-DIAZ P,1,1,0.25,1,1,2020
GARCIA-DOMINGUEZ F,1,1,0.125,10,1,2016
GARDNER P,1,1,0.5,1,1,2022
GARRIE J,1,1,0.25,3,1,2020
GARROTT RA,1,1,0.25,5,1,2020
GARTHWAITE DG,1,1,0.125,269,1,2016
GATORANO G,1,1,0.25,24,1,2020
GATTI S,1,1,0.1,20,1,2014
GAULKE SM,1,1,0.25,19,1,2020
GAUTIER R,1,1,0.059,129,1,2007
GAVIER-PIZARRO GI,1,1,0.25,16,1,2020
GAVRILIDIS AA,1,1,0.2,7,1,2019
GAYNOR KM,1,1,0.333,9,1,2021
GEHRING TM,1,1,0.25,4,1,2020
GENTILI R,1,1,0.333,1,1,2021
GEORGE TL,1,1,0.2,16,1,2019
GERVAIS A,1,1,0.333,6,1,2021
GHOLIKHANI N,1,1,0.143,68,1,2017
GHOSHAL A,1,1,0.333,3,1,2021
GIBERTINI C,1,1,0.5,3,2,2022
GIBSON LA,1,1,0.077,12,1,2011
GIBSON-REINEMER DK,1,1,0.125,9,1,2016
GIELEN MC,1,1,0.5,3,2,2022
GILABERT H,1,1,0.091,39,1,2013
GILL RE,1,1,0.167,4,1,2018
GILLANDERS BM,1,1,0.111,2,1,2015
GILLESPIE GR,1,1,0.143,43,1,2017
GILLILAND SG,1,1,0.5,2,1,2022
GILROY JJ,1,2,0.111,50,2,2015
GIMONA A,1,1,0.091,39,1,2013
GLISSON WJ,1,1,0.111,15,1,2015
GLORIOSO BM,1,1,0.091,11,1,2013
GLOWACKI GA,1,1,0.2,2,1,2019
GOAD EH,1,1,0.1,32,1,2014
GOBBI M,1,1,0.125,10,1,2016
GOCKEL S,1,1,0.083,5,1,2012
GODOY WAC,1,1,0.167,3,1,2018
GOERTLER PAL,1,1,0.25,4,1,2020
GOFFART P,1,1,0.2,48,1,2019
GOLABEK K,1,1,0.5,3,1,2022
GOLDBERG CS,1,2,0.25,11,2,2020
GOLDING JD,1,1,0.143,8,1,2017
GOLDSTEIN BR,1,2,0.5,7,2,2022
GOMEZ C,1,1,0.5,2,1,2022
GOMEZ JP,1,1,0.167,22,1,2018
GOMEZ-RODRIGUEZ C,1,1,0.071,7,1,2010
GOMPPER ME,1,1,0.2,12,1,2019
GONZALEZ LM,1,1,0.125,10,1,2016
GONZALEZ TM,1,1,0.333,3,1,2021
GONZALEZ-JAUREGUI M,1,1,0.5,2,1,2022
GONZALEZ-TRUJILLO JD,1,1,0.333,3,1,2021
GOODALE E,1,1,0.2,5,1,2019
GOODMAN SM,1,1,0.143,12,1,2017
GOOSSENS B,1,1,0.5,1,1,2022
GOPALASWAMY AM,1,2,0.083,39,2,2012
GORMLEY AM,1,1,0.1,26,1,2014
GOSALBEZ J,1,1,0.25,1,1,2020
GOTTLIEB IGW,1,1,0.25,4,1,2020
GRAF RF,1,1,0.167,27,1,2018
GRAGSON TL,1,1,0.167,15,1,2018
GRAINGER M,1,1,0.25,9,1,2020
GRAY TNE,1,1,0.2,1,1,2019
GREEN AM,1,1,0.5,3,3,2022
GREEN DS,1,1,0.2,19,1,2019
GREEN LE,1,1,0.067,39,1,2009
GREENBERG R,1,1,0.071,26,1,2010
GREGORY RD,1,1,0.167,30,1,2018
GREY MJ,1,1,0.111,30,1,2015
GRIFFITHS NP,1,1,0.2,27,1,2019
GRIFFITHS RA,1,1,0.333,5,1,2021
GRILO C,1,1,0.077,51,1,2011
GROUARD S,1,1,0.333,5,1,2021
GU BJ,1,1,0.5,1,1,2022
GU H,1,1,0.2,5,1,2019
GUILLERA-ARROITA G,1,1,0.2,7,1,2019
GUISAN A,1,1,0.071,7,1,2010
GUNTHER A,1,1,0.333,17,1,2021
GUSTAFSON KD,1,1,0.125,4,1,2016
HACKETT CE,1,2,0.2,13,2,2019
HADLEY AS,1,1,0.125,40,1,2016
HAHN BA,1,1,0.143,8,1,2017
HALL D,1,1,0.5,1,1,2022
HALL KC,1,1,0.111,2,1,2015
HALSTEAD BJ,1,2,0.167,16,2,2018
HAMEED S,1,1,0.1,66,1,2014
HAMEL S,1,1,0.143,68,1,2017
HANDLEY LL,1,1,0.2,27,1,2019
HANFLING B,1,1,0.2,27,1,2019
HANNI DJ,1,1,0.083,57,1,2012
HANNIFFY R,1,1,0.5,1,1,2022
HANNON DR,1,1,0.333,2,1,2021
HARIHAR A,1,1,0.333,7,1,2021
HARPER CA,1,1,0.125,21,1,2016
HARPER KJ,1,1,0.2,27,1,2019
HARPER LR,1,1,0.2,27,1,2019
HARRIS NC,1,2,0.333,6,2,2021
HARRIS SH,1,1,0.333,6,1,2021
HARRISON PJ,1,1,0.25,1,1,2020
HARTLEY AZ,1,1,0.111,113,1,2015
HARTLEY R,1,1,0.5,3,1,2022
HARTZ SM,1,1,0.167,9,1,2018
HATFIELD RG,1,1,0.25,19,1,2020
HATHAWAY SA,1,1,0.333,4,1,2021
HAUGAASEN T,1,3,0.111,51,3,2015
HAUKOS D,1,1,0.125,17,1,2016
HAULTON GS,1,1,0.143,8,1,2017
HAVMOLLER RW,1,1,0.2,19,1,2019
HAXTON TJ,1,1,0.143,12,1,2017
HAYNES TB,1,1,0.125,26,1,2016
HEATH JA,1,1,0.091,31,1,2013
HEDWALL S,1,1,0.5,1,1,2022
HEFNER JM,1,1,0.1,11,1,2014
HEGEL CGZ,1,1,0.2,6,1,2019
HEGRE H,1,1,0.5,1,1,2022
HEIM N,1,1,0.125,9,1,2016
HEINDL BAP,1,1,0.143,4,1,2017
HEINSOHN R,1,1,0.2,1,1,2019
HEISE RJ,1,1,0.125,6,1,2016
HEMP A,1,1,0.083,5,1,2012
HENDEN JA,1,1,0.091,14,1,2013
HENLE K,1,1,0.125,18,1,2016
HENLEY S,1,1,0.5,3,1,2022
HENNENLAN C,1,1,0.059,14,1,2007
HENRY DAW,1,1,0.2,1,1,2019
HEPINSTALL-CYMERMAN J,1,1,0.167,15,1,2018
HEPP GR,1,1,0.1,10,1,2014
HEPPER D,1,1,0.2,48,1,2019
HERNANDEZ F,1,1,0.091,39,1,2013
HERNANDEZ-POTOSME S,1,1,0.167,32,1,2018
HERON JM,1,1,0.25,19,1,2020
HERREL A,1,1,0.333,5,1,2021
HERRERA L,1,1,0.167,32,1,2018
HERRICK BM,1,1,0.5,1,1,2022
HERRMANN V,1,1,0.2,2,1,2019
HESTER A,1,1,0.091,39,1,2013
HESTER M,1,1,0.25,1,1,2020
HETHERINGTON DA,1,1,0.125,12,1,2016
HEURICH M,1,1,0.167,10,1,2018
HICKE JA,1,1,0.2,10,1,2019
HIDALGO-HERMOSO E,1,1,0.333,2,1,2021
HIGA M,1,1,0.111,25,1,2015
HILL RA,1,1,0.333,6,1,2021
HINDE J,1,1,0.167,3,1,2018
HOCKING DJ,1,1,0.333,3,1,2021
HOCTOR T,1,1,0.333,2,2,2021
HODGMAN TP,1,1,0.25,4,1,2020
HODUM P,1,1,0.25,1,1,2020
HOFER H,1,1,0.083,64,1,2012
HOLEKAMP KE,1,1,0.2,19,1,2019
HOLLERBACH L,1,1,0.167,10,1,2018
HOLLEY KS,1,1,0.25,4,1,2020
HOLLORAN AG,1,1,0.167,3,1,2018
HOLLORAN MJ,1,1,0.167,3,1,2018
HOLMES C,1,1,0.143,15,1,2017
HONEYCUTT RK,1,1,0.143,20,1,2017
HOSTETTER NJ,1,1,0.111,10,1,2015
HOUGHTON LM,1,1,0.167,4,1,2018
HOWE FP,1,1,0.048,106,1,2003
HOWE KB,1,1,0.167,11,1,2018
HOWELL CA,1,1,0.167,19,1,2018
HOWELL PE,1,1,0.5,1,1,2022
HOY SR,1,1,0.25,15,1,2020
HUA CL,1,1,0.5,1,1,2022
HUA Y,1,1,0.25,7,1,2020
HUANG G,1,1,0.25,6,1,2020
HUBBARD T,1,1,0.5,2,1,2022
HUBBELL SP,1,1,0.143,18,1,2017
HUCKE-GAETE R,1,1,0.167,13,1,2018
HUGHES B,1,1,0.5,1,1,2022
HULSE D,1,1,0.333,2,2,2021
HUNT JW,1,1,0.083,24,1,2012
HUNTE W,1,1,0.067,10,1,2009
HUNTSMAN BM,1,2,0.167,9,2,2018
HURLBERT AH,1,1,0.25,9,1,2020
HURTADO-ASTAIZA J,1,2,0.091,113,2,2013
HUSBAND TP,1,1,0.063,258,1,2008
HUSSAIN HS,1,1,0.25,4,1,2020
HUTTO RL,1,1,0.077,78,1,2011
HUTTON JM,1,1,0.25,8,1,2020
HUYVAERT KP,1,1,0.167,17,1,2018
IANNARILLI F,1,1,0.5,2,1,2022
IEZZI ME,1,1,0.5,1,1,2022
IGLECIA MN,1,1,0.083,15,1,2012
IKIN K,1,1,0.125,18,1,2016
IMBEAU L,1,1,0.1,21,1,2014
INGWERSEN D,1,1,0.111,30,1,2015
IRIZARRY JI,1,1,0.125,12,1,2016
IRWIN LL,1,1,0.071,27,1,2010
ISAAK DJ,1,1,0.2,13,1,2019
ISDEN J,1,1,0.5,3,1,2022
ISOKE S,1,1,0.2,9,1,2019
JACHOWSKI CMB,1,1,0.2,6,1,2019
JACKSON DA,1,1,0.167,13,1,2018
JACKSON PJ,1,1,0.167,11,1,2018
JACOBI SK,1,1,0.111,15,1,2015
JACOBSEN RM,1,1,0.5,1,1,2022
JACOMO ATA,1,1,0.083,64,1,2012
JAMTSHO R,1,1,0.5,2,1,2022
JANSEN F,1,1,0.333,17,1,2021
JANSEN PA,1,2,0.25,13,2,2020
JARCHOW CJ,1,1,0.111,68,1,2015
JATHANNA D,1,1,0.25,4,1,2020
JAY SC,1,1,0.167,3,1,2018
JEFFERY BM,1,1,0.083,7,1,2012
JEFFRESS MR,1,1,0.167,6,1,2018
JEHLE R,1,1,0.5,2,1,2022
JELKS HL,1,1,0.167,3,1,2018
JENKINS CL,1,1,0.143,15,1,2017
JEPSEN JU,1,1,0.111,5,1,2015
JESSOP TS,1,1,0.091,28,1,2013
JHA A,1,1,0.5,1,1,2022
JI YQ,1,1,0.5,1,1,2022
JIANG GS,1,1,0.25,7,1,2020
JIANG XL,1,1,0.167,14,1,2018
JIMENEZ JE,1,1,0.333,1,1,2021
JNAWALI SR,1,2,0.25,4,2,2020
JOACHIM J,1,1,0.077,2,1,2011
JOHNSON AEM,1,1,0.2,2,1,2019
JOHNSON BA,1,1,0.125,6,1,2016
JOHNSON PJ,1,1,0.125,12,1,2016
JONES CJ,1,1,0.1,26,1,2014
JONES GM,1,1,0.25,4,1,2020
JONES HH,1,1,0.333,6,1,2021
JONES TR,1,1,0.143,20,1,2017
JONES-FARRAND DT,1,1,0.25,4,1,2020
JORDAN CA,1,1,0.25,13,1,2020
JORGENSEN CF,1,1,0.1,9,1,2014
JOSHI BD,1,1,0.5,1,1,2022
JOSHI V,1,1,0.25,4,1,2020
JUBILI J,1,2,0.333,4,2,2021
KABIR M,1,1,0.1,66,1,2014
KADARIYA R,1,1,0.5,2,1,2022
KAFLEY H,1,1,0.2,12,1,2019
KALKMAN VJ,1,1,0.2,48,1,2019
KALKO EKV,1,1,0.083,5,1,2012
KALLE R,1,1,0.125,18,1,2016
KALYAHE M,1,1,0.143,41,1,2017
KANDEL RC,1,1,0.25,4,1,2020
KANE MD,1,1,0.143,68,1,2017
KARENYI N,1,1,0.125,6,1,2016
KARL BJ,1,1,0.1,26,1,2014
KARPANTY S,1,1,0.143,15,1,2017
KARUBIAN J,1,1,0.25,5,1,2020
KASS JM,1,1,0.25,10,1,2020
KATAYAMA N,1,1,0.333,4,1,2021
KAUHALA K,1,1,0.143,15,1,2017
KAUTZ TM,1,1,0.333,4,1,2021
KAWALKAR D,1,1,0.333,1,1,2021
KAWANISHI K,1,1,0.053,304,1,2005
KEANE JJ,1,1,0.25,9,1,2020
KEEPING D,1,1,0.5,3,1,2022
KEINATH DA,1,1,0.25,19,1,2020
KELKAR N,1,1,0.091,20,1,2013
KELLNER JR,1,1,0.143,18,1,2017
KELLY EG,1,1,0.083,13,1,2012
KENDALL BE,1,1,0.2,5,1,2019
KENDALL KC,1,1,0.083,10,1,2012
KENNARD MJ,1,1,0.091,18,1,2013
KENNEDY CM,1,1,0.143,6,1,2017
KENNEDY PL,1,1,0.143,5,1,2017
KESCH K,1,1,0.5,3,1,2022
KESLER DC,1,1,0.333,4,1,2021
KESSINGER BE,1,1,0.333,2,1,2021
KEYSER PD,1,1,0.125,21,1,2016
KHADKA M,1,1,0.2,12,1,2019
KHAN B,1,1,0.25,4,1,2020
KHANAL G,1,1,0.143,20,1,2017
KHANAL K,1,1,0.25,4,1,2020
KHANYARI M,1,1,0.333,3,1,2021
KHARA A,1,1,0.333,3,1,2021
KHOO MDY,1,1,0.333,1,1,2021
KHOT R,1,1,0.25,3,1,2020
KIDWAI Z,1,1,0.2,18,1,2019
KILSHAW K,1,1,0.125,12,1,2016
KINDBERG J,1,1,0.333,6,1,2021
KINDVALL O,1,1,0.25,1,1,2020
KING R,1,1,0.125,11,1,2016
KING TW,1,1,0.25,9,1,2020
