Element,h_index,g_index,m_index,TC,NP,PY_start
BERGALLO HG,2,2,0.333,27,2,2018
BERNARD H,2,2,0.222,152,2,2015
BESNARD A,2,2,0.167,36,2,2012
BETTOLI PW,2,2,0.222,16,2,2015
BISHOP AA,2,2,0.2,11,2,2014
BLEISCH WV,2,2,0.333,17,2,2018
BLOMBERG EJ,2,3,0.5,9,3,2020
BOTSCH Y,2,2,0.333,36,2,2018
BRADSTOCK RA,2,2,0.5,8,2,2020
BRANDT LA,2,3,0.167,20,3,2012
BREHME CS,2,2,0.167,68,2,2012
BRODIE JF,2,3,0.182,136,3,2013
BROWN ME,2,2,0.2,38,2,2014
BUEHLER DA,2,2,0.25,34,2,2016
BURTON AC,2,2,0.154,138,2,2011
CALLAS RL,2,2,0.222,96,2,2015
CAMINO M,2,2,0.4,29,2,2019
CAMPBELL TA,2,2,0.4,18,2,2019
CARROLL JP,2,2,0.2,34,2,2014
CARTER N,2,2,0.4,19,2,2019
CEPEK JD,2,2,0.4,37,2,2019
CHERKISS MS,2,2,0.167,19,2,2012
CHIARELLO AG,2,2,0.286,36,2,2017
CLARK AE,2,2,0.333,36,2,2018
COATES PS,2,2,0.333,23,2,2018
CODA JA,2,3,0.333,13,3,2018
CONROY MJ,2,2,0.222,28,2,2015
CONWAY CJ,2,3,0.4,33,3,2019
CONZE KJ,2,2,0.4,65,2,2019
COOPER RJ,2,2,0.143,106,2,2010
CORRALES-GUTIERREZ D,2,2,0.333,36,2,2018
CRAWFORD JA,2,2,0.182,41,2,2013
CUSHMAN SA,2,2,0.667,12,2,2021
DAIL D,2,2,0.154,256,2,2011
DAVIES HF,2,2,0.286,50,2,2017
DAVIS CL,2,2,0.286,95,2,2017
DE PINHO FF,2,2,0.286,26,2,2017
DELLE MONACHE D,2,2,0.5,19,2,2020
DELUCA WV,2,2,0.2,30,2,2014
DENNIS PM,2,2,0.4,37,2,2019
DICKMAN AJ,2,2,0.286,44,2,2017
DICKSON BG,2,2,0.222,102,2,2015
