Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1697,"o'connell, allan f.",10,13,2,404,10,0.215155,0.000315,0,0.777778,35,0.000803
1698,"o'donnell, k. m.",2,4,2,81,2,0.151165,0,0,1,1,0.000084
1699,"o'donnell, lisa",3,3,1,17,3,0.171249,0,0,1,3,0.000052
1700,"o'hara, r. b.",8,8,1,5,8,1,0,77,1,28,0.000122
1701,"o'leary, cecilia a.",3,3,1,16,3,0.177683,0,0,1,3,0.000066
1702,"o'neal, benjamin j.",5,5,1,0,5,0.140264,0,0,1,10,0.002668
1703,"o'neil, shawn t.",11,11,2,24,11,0.169443,0.006106,0,0.490909,27,0.000173
1704,"o'neill, adam j.",6,6,1,0,6,1,0,81,1,15,0.000058
1705,"o'riain, mj.",9,9,4,52,9,0.172692,0.00169,0,0.222222,8,0.002018
1706,"oakleaf, robert j.",4,4,1,5,4,1,0,184,1,6,0.000025
1707,"ober, holly k.",8,8,2,16,8,0.145623,0.000613,0,0.5,14,0.000135
1708,"oberosler, v.",6,10,3,24,6,0.191495,0.000427,0,0.6,9,0.000383
1709,"obloza, przemyslaw",6,6,1,15,6,1,0,63,1,15,0.000058
1710,"ocock, j. f.",5,5,1,9,5,0.147846,0,0,1,10,0.000057
1711,"odden, john",6,6,1,6,6,0.875,0,24,1,15,0.000059
1712,"oddy, donna m.",8,14,2,11,8,0.833333,0,87,1,28,0.00013
1713,"odonjavkhlan, c.",6,6,1,4,6,0.162866,0,0,1,15,0.000213
1714,"often, anders",9,9,1,1,9,1,0,33,1,36,0.000172
1715,"ogurcak, danielle",8,8,1,7,8,0.133623,0,0,1,28,0.00024
1716,"ogutu, joseph o.",6,6,1,13,6,1,0,122,1,15,0.000058
1717,"oja, emily b.",16,17,2,4,16,0.170136,0.000375,0,0.8,96,0.00115
1718,"ojwang, gordon o.",6,6,1,13,6,1,0,122,1,15,0.000058
1719,"okes, nicola c.",1,1,1,6,1,0.147276,0,0,0,0,0.000067
1720,"olden, julian d.",8,8,2,35,8,0.175173,0.002053,0,0.464286,13,0.000183
1721,"oley, josephine",2,2,1,15,2,0.168775,0,0,1,1,0.000165
1722,"oliva-paterna, francisco j.",4,7,2,6,4,0.169605,0,0,1,6,0.000097
1723,"oliveira, jane c. f.",3,3,1,0,3,0.6,0,64,1,3,0.000027
1724,"oliveira, marcelo j. r.",6,6,1,6,6,0.173454,0,0,1,15,0.000433
1725,"oliver, damon l.",13,13,1,29,13,0.842105,0,55,1,78,0.000623
1726,"oliver, katie",2,2,1,1,2,0.583333,0,56,1,1,0.000014
1727,"olivier, anthony",4,4,1,34,4,0.642857,0,54,1,6,0.000032
1728,"olmos, melva",18,18,1,32,18,0.176927,0,0,1,153,0.013161
1729,"olnaos, melva",10,10,1,13,10,0.154031,0,0,1,45,0.000604
1730,"olson, bryce t.",5,5,1,0,5,0.140264,0,0,1,10,0.002668
1731,"olson, lucretia e.",4,4,1,5,4,1,0,184,1,6,0.000025
1732,"omeyer, lucy c. m.",17,17,1,0,17,1,0,38,1,136,0.001946
1733,"oneto, fabrizio",2,2,1,12,2,0.6,0,121,1,1,0.000016
1734,"ono, satoru",5,5,1,25,5,0.168233,0,0,1,10,0.000092
1735,"orioli, valerio",3,3,1,1,3,1,0,4,1,3,0.000015
1736,"ormsbee, patricia c.",8,10,2,69,8,0.625,0.000001,13,0.678571,19,0.00012
1737,"oropeza-sanchez, marco tulio",4,4,1,0,4,1,0,59,1,6,0.000025
1738,"ortega, josue",10,10,1,13,10,0.154031,0,0,1,45,0.000604
1739,"ortega-alvarez, ruben",14,14,1,1,14,1,0,101,1,91,0.000821
1740,"osorio-olvera, luis",13,13,1,0,13,1,0,14,1,78,0.00061
1741,"ostfeld, richard s.",4,4,1,0,4,1,0,183,1,6,0.000025
1742,"ott, james r.",2,2,1,23,2,0.666667,0,178,1,1,0.000009
1743,"otto, clint r. v.",2,2,1,27,2,0.190849,0,0,1,1,0.000103
1744,"ousterhout, b. h.",4,4,1,28,4,0.14254,0,0,1,6,0.001635
1745,"outhwaite, charlotte l.",5,5,1,30,5,0.150811,0,0,1,10,0.00034
