Id,Label,links,total_link_strength,documents,citations,degree.centr,closnesscentrality,norm.betweeness.centr,component.number,clustering,triangles,eigen.centr
1936,"reed, eric t.",2,2,1,2,2,1,0,162,1,1,0.000008
1937,"reed, robert",13,13,2,20,13,0.134181,0.004904,0,0.461538,36,0.000259
1938,"reed, sarah e.",3,3,1,32,3,0.152683,0,0,1,3,0.000109
1939,"reich, brian j.",5,5,1,5,5,0.170959,0,0,1,10,0.000084
1940,"reichert, brian e.",10,11,2,29,10,0.134067,0.000129,0,0.6,27,0.000218
1941,"reichman, alon",5,5,1,1,5,1,0,44,1,10,0.000039
1942,"reid, janice",5,5,1,34,5,0.186298,0,0,1,10,0.00018
1943,"reid, s. m.",1,1,1,12,1,1,0,172,0,0,0.000003
1944,"reidy, jennifer l.",3,3,1,17,3,0.171249,0,0,1,3,0.000052
1945,"reigada, carolina",4,4,1,3,4,1,0,133,1,6,0.000025
1946,"reinaga, ariel",7,7,1,1,7,0.157251,0,0,1,21,0.000103
1947,"reiners, tobias erik",3,3,1,10,3,1,0,173,1,3,0.000015
1948,"remine, katie",26,26,1,23,26,0.162063,0,0,1,325,0.052013
1949,"ren, you",7,7,1,17,7,0.146347,0,0,1,21,0.000107
1950,"rendall, anthony r.",9,9,2,10,9,0.5,0.000031,20,0.444444,16,0.000093
1951,"renner, s. c.",8,8,1,5,8,1,0,77,1,28,0.000122
1952,"reppucci, juan",3,3,1,133,3,0.201798,0,0,1,3,0.000268
1953,"resh, v. h.",3,3,1,13,3,1,0,42,1,3,0.000015
1954,"reyna-hurtado, rafael",12,14,2,28,12,0.154064,0.000274,0,0.757576,50,0.000628
1955,"ribeiro, jose wagner, jr.",3,3,1,23,3,0.185686,0,0,1,3,0.000129
1956,"ribeiro, m. c.",5,5,1,14,5,0.200283,0,0,1,10,0.000285
1957,"ribic, christine a.",2,2,1,0,2,0.128534,0,0,1,1,0.000018
1958,"rice, kenneth g.",8,8,1,7,8,0.133623,0,0,1,28,0.00024
1959,"rice, robert a.",7,7,1,2,7,0.187062,0,0,1,21,0.000181
1960,"rich, l. n.",70,74,5,178,70,0.213209,0.040743,0,0.449689,1086,1
1961,"rich, mackenzie",3,3,1,11,3,0.132224,0,0,1,3,0.000153
1962,"richardson, leif l.",16,16,1,19,16,0.173178,0,0,1,120,0.001628
1963,"richardson, t. w.",6,6,1,34,6,0.156885,0,0,1,15,0.000083
1964,"richmond, orien m.",8,8,1,0,8,0.104679,0,0,1,28,0.000128
1965,"richter, stephen c.",4,4,1,8,4,1,0,50,1,6,0.000025
1966,"ridgway, mark s.",2,2,1,13,2,1,0,60,1,1,0.000008
1967,"riecke, thomas, v",3,3,1,0,3,0.177016,0,0,1,3,0.00012
1968,"riegel, jeffery k.",4,4,1,20,4,0.170979,0,0,1,6,0.000092
1969,"riffell, samuel k.",7,7,1,8,7,0.125088,0,0,1,21,0.000101
1970,"riley, jeffrey w.",5,5,1,27,5,0.194739,0,0,1,10,0.005246
1971,"riley, seth p. d.",7,7,1,4,7,0.193064,0,0,1,21,0.003432
1972,"rinehart, kurt a.",3,3,1,10,3,0.139544,0,0,1,3,0.001903
1973,"riordan, philip",4,4,1,0,4,1,0,160,1,6,0.000025
1974,"risk, benjamin b.",8,8,1,0,8,0.104679,0,0,1,28,0.000128
1975,"ritchie, euan g.",12,12,2,16,12,0.65,0.000045,20,0.515152,34,0.000261
1976,"rivas, lorena f.",3,3,1,6,3,1,0,156,1,3,0.000015
1977,"rivera-milan, frank f.",3,3,1,1,3,1,0,195,1,3,0.000015
1978,"rivero, j.",6,6,1,12,6,1,0,100,1,15,0.000058
1979,"roach, melissa c.",2,2,1,2,2,0.1478,0,0,1,1,0.000026
1980,"roach, nicolette s.",1,1,1,17,1,0.333333,0,41,0,0,0.000006
1981,"roberto spironello, wilson",13,13,1,0,13,1,0,14,1,78,0.00061
1982,"roberts, anthony j.",5,5,1,1,5,0.20131,0,0,1,10,0.000273
1983,"roberts, l. jay",1,1,1,14,1,1,0,98,0,0,0.000003
1984,"robin, v. v.",5,5,1,4,5,1,0,29,1,10,0.000039
1985,"robino, facundo",13,13,1,1,13,0.172818,0,0,1,78,0.009342
1986,"robinson, doug",13,13,1,29,13,0.842105,0,55,1,78,0.000623
1987,"robinson, h. s.",30,31,4,150,30,0.205195,0.010768,0,0.416092,181,0.065611
1988,"robinson, nathaniel",40,41,2,100,40,0.20788,0.003777,0,0.524359,409,0.079534
1989,"robinson, scott k.",6,6,2,28,6,1,0.000003,48,0.4,6,0.000031
1990,"robison, terry",6,11,2,36,6,0.155214,0,0,1,15,0.000169
1991,"robledano, francisco",5,5,1,7,5,0.177193,0,0,1,10,0.000209
1992,"rochefort, line",3,3,1,0,3,0.565217,0,57,1,3,0.000027
1993,"rochester, carlton j.",7,7,1,4,7,0.193064,0,0,1,21,0.003432
1994,"rochford, michael",8,8,1,7,8,0.133623,0,0,1,28,0.00024
1995,"rod-eriksen, lars",5,5,1,0,5,1,0,144,1,10,0.000039
1996,"rode, brian",5,5,1,12,5,0.157601,0,0,1,10,0.025671
1997,"rodewald, amanda d.",5,5,1,2,5,0.11406,0,0,1,10,0.000048
1998,"rodger, anthony w.",1,1,1,0,1,1,0,199,0,0,0.000003
1999,"rodhouse, thomas j.",19,22,4,79,19,0.952381,0.000032,13,0.339181,58,0.000311
2000,"rodrigues, thiago f.",6,6,1,22,6,0.201453,0,0,1,15,0.00033
2001,"rodriguez marin, rosa marina",14,14,1,1,14,1,0,101,1,91,0.000821
2002,"rodriguez, rogelio m.",5,5,1,41,5,0.571429,0,13,1,10,0.000089
2003,"rodriguez-recio, mariano",4,4,1,0,4,1,0,153,1,6,0.000025
2004,"roedel, mark-oliver",8,10,2,6,8,0.147507,0.000137,0,0.821429,23,0.000872
2005,"rogers, thomas p.",3,3,1,0,3,0.111233,0,0,1,3,0.000027
2006,"rohde, ashley t.",16,16,1,19,16,0.173178,0,0,1,120,0.001628
2007,"rohnke, adam t.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
2008,"rohrbaugh, ronald w.",5,5,1,2,5,0.11406,0,0,1,10,0.000048
2009,"rohrer, john",7,7,1,8,7,0.193064,0,0,1,21,0.003389
2010,"rojas gonzales, rocio del pilar",13,13,1,0,13,1,0,14,1,78,0.00061
2011,"rojas-murcia, luis e.",8,8,1,50,8,0.722222,0,79,1,28,0.000142
2012,"roland, carl a.",2,2,1,44,2,0.444444,0,3,1,1,0.000025
2013,"roland, victor l.",3,3,1,0,3,1,0,90,1,3,0.000015
2014,"roloff, gary j.",12,14,5,103,12,0.205972,0.008754,0,0.272727,18,0.000312
2015,"romano, antonio",4,6,2,10,4,0.75,0,121,1,6,0.000029
2016,"romero premeaux, alexis",3,3,1,2,3,0.143364,0,0,1,3,0.000059
2017,"rongrongmuang, w.",3,3,1,6,3,1,0,37,1,3,0.000015
2018,"roodbal, marnus",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2019,"rorabaugh, james c.",20,22,2,21,20,0.170218,0.00038,0,0.626316,119,0.001296
2020,"rosa, giacomo",4,4,1,0,4,0.75,0,121,1,6,0.000029
2021,"rosa, roberto",7,7,1,7,7,1,0,71,1,21,0.000085
2022,"rosalino, luis miguel",7,7,1,0,7,0.733333,0,25,1,21,0.000093
2023,"rose, jonathan p.",2,2,1,0,2,0.122445,0,0,1,1,0.00005
2024,"roseman, edward f.",6,6,1,0,6,1,0,76,1,15,0.000058
2025,"rosenberg, kenneth v.",5,5,1,2,5,0.11406,0,0,1,10,0.000048
2026,"rosenberger, amanda e.",6,6,1,26,6,0.421053,0,3,1,15,0.000074
2027,"rosenlund, havard",3,3,1,18,3,0.714286,0,139,1,3,0.000019
2028,"rosenstock, steven s.",1,1,1,8,1,0.154031,0,0,0,0,0.00003
2029,"roskaft, eivin",7,7,1,8,7,0.161416,0,0,1,21,0.027558
2030,"ross, beth e.",3,3,1,17,3,0.328125,0,74,1,3,0.000017
2031,"ross, monica",4,4,1,0,4,1,0,105,1,6,0.000025
2032,"rossman, sam",5,5,1,34,5,0.186298,0,0,1,10,0.00018
2033,"rota, christopher t.",19,35,7,435,19,0.188232,0.010292,0,0.309942,53,0.000643
2034,"rotella, jay j.",8,8,2,10,8,0.164879,0.000364,0,0.428571,12,0.000076
2035,"rotenberry, john t.",4,4,2,14,4,0.146331,0.002692,0,0.5,3,0.000062
2036,"roth, tobias",1,1,1,13,1,1,0,18,0,0,0.000003
2037,"rovero, f.",27,31,5,43,27,0.198903,0.020398,0,0.470085,165,0.003565
2038,"rowcliffe, j. marcus",20,22,4,128,20,0.177038,0.005447,0,0.273684,52,0.00057
2039,"rowe, d. bradley",5,5,1,13,5,0.170897,0,0,1,10,0.000069
2040,"rowe, jennifer c.",6,10,2,14,6,0.122541,0,0,1,15,0.000112
2041,"rowinski, patryk",3,3,1,0,3,0.8,0,197,1,3,0.000016
2042,"roy, christian",2,2,1,2,2,1,0,162,1,1,0.000008
2043,"roy, david b.",6,6,1,265,6,0.135298,0,0,1,15,0.000329
2044,"roy, helen e.",6,6,1,359,6,0.135298,0,0,1,15,0.000341
2045,"royle, j. andrew",65,73,19,4679,65,0.251825,0.082965,0,0.070192,146,0.002515
2046,"rozylowicz, laurentiu",8,8,1,7,8,0.132286,0,0,1,28,0.000337
2047,"ruhl, patrick j.",4,4,1,20,4,0.170979,0,0,1,6,0.000092
2048,"ruiz, jorge",8,8,1,13,8,1,0,11,1,28,0.000122
2049,"rurik, alexander j.",3,3,1,0,3,1,0,128,1,3,0.000015
2050,"rush, scott a.",10,10,2,8,10,0.125122,0.001234,0,0.533333,24,0.000116
2051,"russell, kerwin",8,8,1,0,8,0.625,0,58,1,28,0.000168
2052,"russell, r. e.",6,6,1,34,6,0.156885,0,0,1,15,0.000083
2053,"rustigian-romsos, heather l.",6,6,1,13,6,1,0,40,1,15,0.000058
2054,"ruthrauff, daniel r.",4,4,1,4,4,0.169626,0,0,1,6,0.00006
2055,"rutledge, b. a.",8,8,1,3,8,0.114978,0,0,1,28,0.000134
2056,"ryan, gerard edward",7,7,1,1,7,0.440678,0,20,1,21,0.00015
2057,"ryan, travis j.",22,22,1,44,22,0.162323,0,0,1,231,0.041391
2058,"ryder, t. brandt",7,7,1,2,7,0.187062,0,0,1,21,0.000181
2059,"rykken, jessica",16,16,1,19,16,0.173178,0,0,1,120,0.001628
2060,"saab, victoria a.",8,8,2,21,8,0.163072,0.001668,0,0.428571,12,0.000088
2061,"safford, h. d.",6,6,1,34,6,0.156885,0,0,1,15,0.000083
2062,"saha, goutam kumar",2,2,1,0,2,1,0,47,1,1,0.000008
2063,"salant, nira l.",3,3,1,30,3,1,0,96,1,3,0.000015
2064,"salguero, antonio j.",4,4,1,6,4,0.156763,0,0,1,6,0.000057
2065,"salom-perez, roberto",21,23,2,36,21,0.176993,0.000314,0,0.771429,162,0.013334
2066,"salsbury, carmen m.",22,22,1,44,22,0.162323,0,0,1,231,0.041391
2067,"saltz, david",5,5,1,1,5,1,0,44,1,10,0.000039
2068,"salvador, julia",18,18,1,0,18,0.180818,0,0,1,153,0.003323
2069,"salvatori, marco",4,4,1,1,4,0.165982,0,0,1,6,0.00026
2070,"salvi, daniele",16,16,1,52,16,0.66,0,19,1,120,0.00198
2071,"salvidio, sebastiano",6,10,4,26,6,1,0.000001,121,0.533333,8,0.000037
2072,"sam, moses k.",5,8,2,138,5,0.150666,0,0,1,10,0.000795
2073,"samelius, g.",6,6,1,4,6,0.162866,0,0,1,15,0.000213
2074,"samways, m. j.",3,3,1,7,3,1,0,157,1,3,0.000015
2075,"san miguel, tomas valentin",5,5,1,0,5,0.153279,0,0,1,10,0.000418
2076,"san, emmanuel do linh",5,5,1,9,5,0.170382,0,0,1,10,0.002043
2077,"sanchez, andres",8,8,1,50,8,0.722222,0,79,1,28,0.000142
2078,"sanchez-gonzalez, luis a.",14,14,1,1,14,1,0,101,1,91,0.000821
2079,"sander, heather a.",37,48,2,67,37,0.16296,0.000037,0,0.752252,501,0.066982
2080,"sandercock, brett k.",9,9,1,1,9,1,0,33,1,36,0.000172
2081,"sanderlin, jamie s.",4,4,1,16,4,0.14332,0,0,1,6,0.000047
2082,"santos, fernanda",18,18,1,0,18,0.180818,0,0,1,153,0.003323
2083,"santos-reis, margarida",8,11,3,63,8,0.1338,0.001234,0,0.464286,13,0.000119
2084,"sapkota, netra sharma",10,10,1,4,10,0.173115,0,0,1,45,0.003295
2085,"saracco, james f.",2,2,1,41,2,0.129618,0,0,1,1,0.000045
2086,"sarasola, jose hernan",4,4,1,1,4,0.170835,0,0,1,6,0.002898
2087,"sashika, mariko",6,6,1,1,6,0.607143,0,51,1,15,0.000081
2088,"satterfield, lauren c.",5,5,1,12,5,0.157601,0,0,1,10,0.025671
2089,"sauder, joel d.",2,2,1,6,2,0.135948,0,0,1,1,0.000011
2090,"sauer, erin l.",8,8,1,1,8,0.140292,0,0,1,28,0.001985
2091,"sauer, john r.",10,10,3,250,10,0.204838,0.00206,0,0.355556,16,0.000403
2092,"saunders, sarah p.",7,7,2,34,7,0.186347,0.000823,0,0.52381,11,0.000189
2093,"savini, tommaso",7,7,2,10,7,1,0.000003,56,0.52381,11,0.000048
2094,"savre, thomas",6,6,1,4,6,1,0,91,1,15,0.000058
2095,"sawant, sayli",3,3,1,1,3,1,0,182,1,3,0.000015
2096,"sawyer, sarah c.",5,5,1,19,5,0.129689,0,0,1,10,0.000093
2097,"sayer, carl d.",8,8,1,27,8,1,0,68,1,28,0.000122
2098,"saylor, c. f.",4,4,1,13,4,0.157111,0,0,1,6,0.000032
2099,"sberze, monica",8,8,1,11,8,0.195682,0,0,1,28,0.000511
2100,"scali, stefano",16,16,1,52,16,0.66,0,19,1,120,0.00198
2101,"scari, giorgio",16,16,1,52,16,0.66,0,19,1,120,0.00198
2102,"scharff, nikolaj",3,3,1,19,3,0.165962,0,0,1,3,0.000228
2103,"schaub, michael",4,5,2,7,4,0.177038,0,0,0.666667,4,0.000129
2104,"schaub, ron",8,8,1,6,8,0.833333,0,87,1,28,0.00013
2105,"schauber, eric m.",5,12,4,141,5,0.136526,0.000137,0,0.7,7,0.000042
2106,"schell, christopher j.",37,48,2,67,37,0.16296,0.000037,0,0.752252,501,0.066982
2107,"scherer, rick d.",7,9,2,10,7,0.15102,0.000059,0,0.809524,17,0.000116
2108,"scherl, daniel",5,5,1,27,5,0.17706,0,0,1,10,0.000155
2109,"schlesinger, matthew d.",3,3,1,12,3,0.185808,0,0,1,3,0.000143
2110,"schmera, denes",5,6,2,9,5,1,0,49,0.7,7,0.000031
2111,"schmid, hans",3,3,1,129,3,0.203746,0,0,1,3,0.000303
2112,"schmidt, br",9,11,4,171,9,1,0.000006,43,0.388889,14,0.000064
2113,"schmidt, joshua h.",16,18,6,122,16,0.75,0.000052,3,0.166667,20,0.00014
2114,"schmutz, joel a.",8,8,2,9,8,0.6,0.000012,3,0.464286,13,0.000094
2115,"schreier, brian m.",5,5,1,4,5,1,0,163,1,10,0.000039
2116,"schuettler, elke",5,5,1,18,5,0.140459,0,0,1,10,0.000066
2117,"schultz, alan d.",3,3,1,2,3,1,0,134,1,3,0.000015
2118,"schuman, melinda j.",6,6,1,11,6,0.16569,0,0,1,15,0.00061
2119,"schumann, david a.",3,3,1,4,3,1,0,116,1,3,0.000015
2120,"schut, kaj",3,3,1,1,3,1,0,195,1,3,0.000015
2121,"schuttler, stephanie g.",8,12,2,38,8,0.185516,0.000612,0,0.892857,25,0.000458
2122,"schwalbe, cecil r.",5,5,1,68,5,0.185054,0,0,1,10,0.000359
2123,"schwalm, donelle",9,9,1,6,9,0.625,0,13,1,36,0.000203
2124,"schwarzer, amy",8,8,1,0,8,0.107807,0,0,1,28,0.000129
2125,"schweitzer, sara h.",8,8,1,10,8,0.170115,0,0,1,28,0.000204
2126,"scognamillo, daniel g.",3,3,1,35,3,0.157198,0,0,1,3,0.000027
2127,"screti, alessia",7,7,1,7,7,1,0,71,1,21,0.000085
2128,"scroggie, michael p.",7,7,1,7,7,0.705882,0,152,1,21,0.000106
2129,"scully, arthur e.",3,3,1,18,3,0.192959,0,0,1,3,0.002953
2130,"seamans, mark e.",4,4,1,149,4,0.206363,0,0,1,6,0.000488
2131,"searle, charlotte e.",4,4,1,3,4,0.168153,0,0,1,6,0.000205
2132,"seddon, philip j.",4,4,1,0,4,1,0,153,1,6,0.000025
2133,"see, kevin",8,8,1,83,8,0.215878,0,0,1,28,0.000664
2134,"seesholtz, alicia m.",5,5,1,4,5,1,0,163,1,10,0.000039
2135,"seglund, amy e.",5,7,2,16,5,0.151603,0.000137,0,0.8,8,0.000069
2136,"sekercioglu, cagan h.",3,3,1,0,3,0.142742,0,0,1,3,0.003706
2137,"selebatso, moses",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2138,"selonen, v.",3,3,1,15,3,1,0,8,1,3,0.000015
2139,"semlitsch, r. d.",6,8,3,109,6,0.156537,0.001807,0,0.466667,7,0.00166
2140,"semper-pascual, asuncion",32,39,4,45,32,0.181795,0.006818,0,0.419355,208,0.003794
2141,"senn-irlet, beatrice",5,5,1,0,5,1,0,52,1,10,0.000039
2142,"seno, aganto",4,4,1,28,4,1,0,30,1,6,0.000025
2143,"senzaki, masayuki",8,10,2,28,8,0.168293,0.000001,0,0.678571,19,0.000122
2144,"seoane, javier",4,4,1,1,4,0.170835,0,0,1,6,0.002898
2145,"seppi, r.",5,5,1,10,5,0.160846,0,0,1,10,0.000065
2146,"serafim, rodica",8,8,1,7,8,0.132286,0,0,1,28,0.000337
2147,"serafini, vanesa",8,13,3,11,8,0.148483,0.000239,0,0.678571,19,0.000178
2148,"serrano zubileta, ingrid",13,13,1,0,13,1,0,14,1,78,0.00061
2149,"settlage, robert e.",5,5,1,4,5,0.14618,0,0,1,10,0.000229
2150,"setz, e. z. f.",5,5,1,14,5,0.200283,0,0,1,10,0.000285
2151,"seyring, marcel",18,18,1,16,18,0.144271,0,0,1,153,0.003289
2152,"shakya, anjali w.",5,5,1,4,5,1,0,163,1,10,0.000039
2153,"shamon, hila",5,5,1,1,5,1,0,44,1,10,0.000039
2154,"sharief, amira",7,7,1,1,7,0.14025,0,0,1,21,0.000107
2155,"sharma, k.",13,13,2,5,13,0.162997,0.002871,0,0.461538,36,0.000298
2156,"shea, c. p.",6,8,3,21,6,0.186298,0.001644,0,0.466667,7,0.000105
2157,"sheffield, cory s.",16,16,1,19,16,0.173178,0,0,1,120,0.001628
2158,"sheil, douglas",18,18,1,0,18,0.180818,0,0,1,153,0.003323
2159,"sheldon, fran",5,5,1,18,5,0.14914,0,0,1,10,0.000049
2160,"shepherd, brenda",3,3,1,30,3,0.172334,0,0,1,3,0.002136
2161,"sherrill, kirk r.",9,9,1,6,9,0.625,0,13,1,36,0.000203
2162,"sherry, thomas w.",3,3,1,13,3,0.185248,0,0,1,3,0.000099
2163,"sherub, sherub",2,2,1,2,2,0.140306,0,0,1,1,0.000021
2164,"shier, catherine j.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
2165,"shiklomanov, alexey n.",4,4,1,0,4,0.194177,0,0,1,6,0.000138
2166,"shimozuru, michito",6,6,1,1,6,0.607143,0,51,1,15,0.000081
2167,"shinderman, matthew",9,9,1,6,9,0.625,0,13,1,36,0.000203
2168,"shokirov, qobiljon",2,2,1,0,2,1,0,23,1,1,0.000008
2169,"shortall, c. r.",6,6,1,29,6,1,0,88,1,15,0.000058
2170,"shrestha, saroj",10,10,1,4,10,0.173115,0,0,1,45,0.003295
2171,"shu, zufei",4,4,1,0,4,0.128184,0,0,1,6,0.000054
2172,"shute, p. w.",4,4,1,13,4,0.157111,0,0,1,6,0.000032
2173,"sibiya, m.",4,4,1,8,4,0.145533,0,0,1,6,0.000086
2174,"siegel, rodney b.",16,21,5,75,16,0.148889,0.004222,0,0.316667,38,0.000349
2175,"siffert, oceane",5,5,1,0,5,0.692308,0,43,1,10,0.000045
2176,"sigafus, brent h.",23,27,3,89,23,0.185516,0.002504,0,0.505929,128,0.001421
2177,"signer, johannes",4,4,1,15,4,0.133547,0,0,1,6,0.000146
2178,"siitonen, juha",6,6,1,1,6,1,0,169,1,15,0.000058
2179,"sikora, arkadiusz",1,1,1,0,1,0.571429,0,197,0,0,0.000006
2180,"sikui, julsun",8,10,2,6,8,0.147507,0.000137,0,0.821429,23,0.000872
2181,"sillett, t. scott",18,19,4,100,18,0.219804,0.019559,0,0.261438,40,0.000789
2182,"silva, tammy l.",2,2,1,2,2,1,0,148,1,1,0.000008
2183,"silva-rocha, iolanda",16,16,1,52,16,0.66,0,19,1,120,0.00198
2184,"silveira, leandro",5,5,1,64,5,0.148576,0,0,1,10,0.000266
2185,"simal, fernando",3,3,1,1,3,1,0,195,1,3,0.000015
2186,"simon, kelly",22,22,1,44,22,0.162323,0,0,1,231,0.041391
2187,"simon, kelly conrad",26,26,1,23,26,0.162063,0,0,1,325,0.052013
2188,"simons, theodore r.",8,8,1,10,8,0.170115,0,0,1,28,0.000204
2189,"simpson, stephen j.",6,6,1,35,6,0.193938,0,0,1,15,0.000305
2190,"singh, hemant",7,7,1,1,7,0.14025,0,0,1,21,0.000107
2191,"singh, inder",7,7,1,1,7,0.14025,0,0,1,21,0.000107
2192,"singh, rohit",4,4,1,9,4,0.121405,0,0,1,6,0.000066
2193,"sink, kerry",3,3,1,6,3,0.170938,0,0,1,3,0.000034
2194,"siqueira, tadeu",3,3,1,23,3,0.185686,0,0,1,3,0.000129
2195,"skerratt, lee f.",2,2,1,4,2,1,0,108,1,1,0.000008
2196,"slabbert, ruhan",5,5,1,5,5,0.108344,0,0,1,10,0.000048
2197,"slauson, keith m.",6,6,1,13,6,1,0,40,1,15,0.000058
2198,"slotow, rob",6,8,2,41,6,0.170403,0.000133,0,0.8,12,0.002053
2199,"smit-robinson, hanneline",2,2,1,6,2,0.170917,0,0,1,1,0.000027
2200,"smith, adam b.",1,1,1,11,1,1,0,146,0,0,0.000003
2201,"smith, brian j.",8,8,1,12,8,0.133623,0,0,1,28,0.000248
2202,"smith, christopher d.",2,2,1,10,2,1,0,168,1,1,0.000008
2203,"smith, david a. ehlers",3,3,1,23,3,0.714286,0,139,1,3,0.000019
2204,"smith, fletcher",8,8,1,0,8,0.107807,0,0,1,28,0.000129
2205,"smith, geoffrey d.",4,4,1,4,4,0.833333,0,192,1,6,0.000026
2206,"smith, james l. d.",11,13,2,27,11,1,0.000002,149,0.636364,35,0.00016
2207,"smith, lora",5,5,1,4,5,0.144065,0,0,1,10,0.000078
2208,"smith, matthew m.",1,1,1,10,1,0.135544,0,0,0,0,0.000073
2209,"smith, yvette c. ehlers",3,3,1,23,3,0.714286,0,139,1,3,0.000019
2210,"snall, tord",6,6,1,1,6,1,0,169,1,15,0.000058
2211,"snell taylor, sara",2,2,1,9,2,1,0,180,1,1,0.000008
2212,"snyman, andrei",46,46,2,15,46,0.184668,0.006891,0,0.801932,830,0.951306
2213,"soberon, jorge",13,13,1,0,13,1,0,14,1,78,0.00061
2214,"socolar, jacob b.",4,4,1,0,4,0.590909,0,79,1,6,0.000068
2215,"soh, malcolm c. k.",7,7,1,1,7,1,0,145,1,21,0.000085
2216,"solano-zavaleta, israel",3,3,1,5,3,1,0,150,1,3,0.000015
2217,"solimini, angelo",7,7,1,7,7,1,0,71,1,21,0.000085
2218,"sollmann, rahel",37,41,6,80,37,0.174396,0.009615,0,0.262763,175,0.003142
2219,"sorensen, jeff a.",8,8,1,20,8,0.169952,0,0,1,28,0.000479
2220,"soroye, peter",2,2,1,304,2,0.139077,0,0,1,1,0.000031
2221,"sousa goncalves, andre luis",3,3,1,0,3,1,0,131,1,3,0.000015
2222,"southee, f. meg",6,6,1,4,6,1,0,114,1,15,0.000058
2223,"sovie, adia",11,12,3,30,11,0.13413,0.000933,0,0.454545,25,0.000219
2224,"sparkman, amanda m.",3,3,1,0,3,1,0,128,1,3,0.000015
2225,"sparks, robert a.",5,6,2,9,5,0.15157,0.000301,0,0.6,6,0.000064
2226,"sparrow, david",17,17,1,48,17,0.156937,0,0,1,136,0.002638
2227,"spencer, j.",5,5,1,9,5,0.147846,0,0,1,10,0.000057
2228,"spencer, wayne d.",6,6,1,13,6,1,0,40,1,15,0.000058
2229,"spengler, torsten",18,18,1,16,18,0.144271,0,0,1,153,0.003289
2230,"spezia, l.",4,4,1,5,4,1,0,89,1,6,0.000025
2231,"squires, john r.",4,4,1,5,4,1,0,184,1,6,0.000025
2232,"squires, michiko a.",8,8,1,12,8,0.133623,0,0,1,28,0.000248
2233,"sredl, michael j.",14,14,1,1,14,0.156763,0,0,1,91,0.001081
2234,"sreekar, r.",5,5,1,6,5,1,0,119,1,10,0.000039
2235,"srivastava, diane s.",3,3,1,1,3,1,0,111,1,3,0.000015
2236,"srivathsa, arjun",9,9,2,62,9,0.165962,0.001582,0,0.444444,16,0.000237
2237,"st clair, colleen c.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
2238,"stabach, jared a.",6,6,1,13,6,1,0,122,1,15,0.000058
2239,"stamation, kasey a.",7,7,1,7,7,0.705882,0,152,1,21,0.000106
2240,"stankowich, theodore",37,48,2,67,37,0.16296,0.000037,0,0.752252,501,0.066982
2241,"stanton, r. a.",4,4,1,8,4,0.145533,0,0,1,6,0.000086
2242,"starks, trevor a.",1,1,1,0,1,1,0,199,0,0,0.000003
2243,"steel, zachary l.",4,4,1,0,4,1,0,104,1,6,0.000025
2244,"steenweg, robin",28,29,3,111,28,0.208125,0.004672,0,0.685185,259,0.071275
2245,"steer, michael a.",10,10,1,2,10,1,0,92,1,45,0.000239
2246,"steidl, robert j.",1,1,1,16,1,1,0,22,0,0,0.000003
2247,"stein, andrew",41,41,1,3,41,0.182617,0,0,1,820,0.948232
2248,"stein, john",6,6,1,17,6,0.4375,0,74,1,15,0.000069
2249,"steinmetz, robert",5,5,1,9,5,0.777778,0,56,1,10,0.000041
2250,"stetz, jeffrey b.",5,5,1,10,5,0.203629,0,0,1,10,0.000389
2251,"stevens, bryan s.",11,13,4,34,11,0.120751,0.003278,0,0.563636,31,0.000149
2252,"stevenson, cassondra j.",26,26,1,23,26,0.162063,0,0,1,325,0.052013
2253,"stevenson, dirk j.",3,3,1,15,3,0.133699,0,0,1,3,0.000071
2254,"stewart, david r.",4,4,1,9,4,1,0,109,1,6,0.000025
2255,"stewart-koster, ben",5,5,1,18,5,0.14914,0,0,1,10,0.000049
2256,"stien, audun",5,5,1,0,5,1,0,144,1,10,0.000039
2257,"stien, jennifer",5,5,1,0,5,1,0,144,1,10,0.000039
2258,"stillfried, milena",10,10,1,0,10,0.144788,0,0,1,45,0.0005
2259,"stillman, andrew n.",5,5,1,19,5,0.129689,0,0,1,10,0.000093
2260,"stinson, lani t.",4,4,1,8,4,0.136224,0,0,1,6,0.000054
2261,"stodola, kirk w.",5,5,1,7,5,1,0,61,1,10,0.000039
2262,"stojanovic, dejan",5,5,1,1,5,1,0,15,1,10,0.000039
2263,"stolen, eric d.",10,17,3,14,10,1,0.000002,87,0.688889,31,0.000143
2264,"stoner, david c.",4,4,1,4,4,1,0,118,1,6,0.000025
2265,"storch, ilse",4,4,1,4,4,1,0,32,1,6,0.000025
2266,"straka, tanja m.",10,10,1,0,10,0.144788,0,0,1,45,0.0005
2267,"strampelli, paolo",4,4,1,3,4,0.168153,0,0,1,6,0.000205
2268,"strange, james p.",16,16,1,19,16,0.173178,0,0,1,120,0.001628
2269,"street, garrett m.",10,10,1,2,10,0.171332,0,0,1,45,0.001294
2270,"strindberg, samantha",7,7,1,1,7,0.157251,0,0,1,21,0.000103
2271,"struebig, matthew j.",4,4,1,4,4,0.14867,0,0,1,6,0.00056
2272,"stuart, ivor g.",7,7,1,7,7,0.705882,0,152,1,21,0.000106
