"Element","h_index","g_index","m_index","TC","NP","PY_start"
"MILNER-GULLAND EJ","1","1","0.200","18","1","2020"
"MILTON DA","1","1","0.167","5","1","2019"
"MIRANDA LE","1","1","0.200","4","1","2020"
"MIRITIS V","1","1","0.200","9","1","2020"
"MITAI K","1","1","0.143","16","1","2018"
"MITCHELL BR","1","1","0.063","10","1","2009"
"MITCHELL SL","1","1","0.250","5","1","2021"
"MJINGO EE","1","1","0.200","11","1","2020"
"MKASANGA IJ","1","1","0.125","4","1","2017"
"MOE K","1","1","0.250","7","1","2021"
"MOHD-AZLAN J","1","1","0.100","104","1","2015"
"MOHREN SR","1","1","0.143","10","1","2018"
"MOLINA FM","1","1","0.250","1","1","2021"
"MOLINA GM","1","1","0.250","1","1","2021"
"MOLINA UM","1","1","0.250","1","1","2021"
"MOLINA YM","1","1","0.250","1","1","2021"
"MOLLENHAUER R","1","2","0.125","13","2","2017"
"MONROE KD","1","1","0.125","6","1","2017"
"MONROY-HERNÁNDEZ E","1","1","0.333","1","1","2022"
"MONTALTI D","1","1","0.200","8","1","2020"
"MOORE JA","1","1","0.143","33","1","2018"
"MOORE JE","1","1","0.050","101","1","2005"
"MOORE SM","1","1","0.333","2","1","2022"
"MOORMAN CE","1","1","0.250","2","1","2021"
"MORAL RA","1","1","0.143","3","1","2018"
"MORALES J","1","1","0.143","17","1","2018"
"MORAPEDI M","1","1","0.333","7","1","2022"
"MORDECAI R","1","1","0.067","27","1","2010"
"MORDECAI RS","1","1","0.071","85","1","2011"
"MOREIRA-ARCE D","1","1","0.250","2","1","2021"
"MORGAN BJT","1","1","0.167","35","1","2019"
"MORGAN S","1","1","0.333","7","1","2022"
"MORIARTY KM","1","1","0.100","13","1","2015"
"MORIN DJ","1","1","0.333","4","1","2022"
"MORREALE SJ","1","1","0.091","23","1","2014"
"MORRIS RKA","1","1","0.167","361","1","2019"
"MORRISON ML","1","1","0.167","3","1","2019"
"MORRISON SA","1","1","0.077","92","1","2012"
"MORTON DC","1","1","0.200","16","1","2020"
"MOS J","1","1","0.200","16","1","2020"
"MOSBY CE","1","1","0.167","19","1","2019"
"MOSER AM","1","1","0.143","35","1","2018"
"MOSLEY CB","1","1","0.333","5","1","2022"
"MOTTE G","1","1","0.167","57","1","2019"
"MOU P","1","1","0.167","25","1","2019"
"MOUGEOT F","1","1","0.250","9","1","2021"
"MOULTON CE","1","2","0.111","9","2","2016"
"MOURGUIART B","1","1","0.250","5","1","2021"
"MOYA S","1","1","0.333","1","1","2022"
"MUGERWA B","1","1","0.333","2","1","2022"
"MUKHERJEE T","1","1","0.333","3","1","2022"
"MUNGUÍA-STEYER R","1","1","0.333","1","1","2022"
"MURAO R","1","1","0.143","16","1","2018"
"MURDOCH JD","1","1","0.125","7","1","2017"
"MURILLO O","1","1","0.250","14","1","2021"
"MURILLO-GARCÍA OE","1","1","0.250","3","1","2021"
"MURPHY A","1","1","0.125","16","1","2017"
"MURPHY AJ","1","1","0.125","14","1","2017"
"MURRAY F","1","1","0.200","20","1","2020"
"MURRAY NJ","1","1","0.167","5","1","2019"
"MURRY BA","1","1","0.200","4","1","2020"
"MUÑOZ A","1","1","0.250","8","1","2021"
"MWAURA A","1","1","0.333","2","1","2022"
"MÁRQUEZ R","1","1","0.200","1","1","2020"
"MÚÑOZ-IGUALADA J","1","1","0.111","14","1","2016"
"NADER CE","1","1","0.083","13","1","2013"
"NAFUS MG","1","1","0.200","2","1","2020"
"NAGY C","1","1","0.333","3","1","2022"
"NAGY-REIS MB","1","1","0.125","14","1","2017"
"NAING H","1","1","0.250","7","1","2021"
"NAKAMURA F","1","1","0.111","3","1","2016"
"NAMEER PO","1","1","0.333","6","1","2022"
"NANNI V","1","1","0.143","62","1","2018"
"NARANGO DL","1","1","0.125","88","1","2017"
"NAREFF GE","1","1","0.167","8","1","2019"
"NASR M","1","1","0.333","1","1","2022"
"NAVA M","1","1","0.167","2","1","2019"
"NAVEDA-RODRÍGUEZ A","1","1","0.200","2","1","2020"
"NAWAZ MA","1","1","0.091","70","1","2014"
"NAZIR R","1","1","0.200","8","1","2020"
"NEGROES N","1","1","0.200","1","1","2020"
"NEL HP","1","1","0.167","22","1","2019"
"NEL R","1","1","0.111","6","1","2016"
"NEUBAUER G","1","1","0.083","3","2","2013"
"NEVILLE HM","1","1","0.167","15","1","2019"
"NEWKIRK ES","1","1","0.143","14","1","2018"
"NEWMAN RA","1","1","0.111","5","1","2016"
"NEWTON DS","1","1","0.167","12","1","2019"
"NG K","1","1","0.100","10","1","2015"
"NG ST","1","1","0.333","2","1","2022"
"NGAKA K","1","1","0.333","7","1","2022"
"NGATIA DK","1","1","0.333","2","1","2022"
"NGENE S","1","1","0.333","2","1","2022"
"NGOPRASERT D","1","1","0.200","4","1","2020"
"NGUYEN HT","1","1","0.200","4","1","2020"
"NICHOLAS AC","1","1","0.200","24","1","2020"
"NICHOLS RB","1","1","0.111","6","1","2016"
"NICHOLSON KL","1","1","0.091","6","1","2014"
"NICKLEN EF","1","1","0.083","46","1","2013"
"NIEJALKE D","1","1","0.045","545","1","2003"
"NIENOW SS","1","1","0.250","6","1","2021"
"NIMMO DG","1","1","0.167","9","1","2019"
"NIYIGABA P","1","1","0.200","28","1","2020"
"NOON BR","1","1","0.125","6","1","2017"
"NORAMBUENA K","1","1","0.250","2","1","2021"
"NORDENSTEN NJ","1","1","0.143","10","1","2018"
"NORDÉN J","1","1","0.200","2","1","2020"
"NORKKO A","1","1","0.100","10","1","2015"
"NORKKO J","1","1","0.100","10","1","2015"
"NORMANDIN É","1","1","0.200","19","1","2020"
"NORTON RA","1","1","0.200","4","1","2020"
"NORVELL RE","1","1","0.045","108","1","2003"
"NOSS RF","1","1","0.167","12","1","2019"
"NOVAGA R","1","1","0.333","3","1","2022"
"NOVARO AJ","1","1","0.100","7","1","2015"
"NOWAK C","1","1","0.143","11","1","2018"
"NUSSLÉ SC","1","1","0.167","1","1","2019"
"NYE JA","1","1","0.167","17","1","2019"
"NYSEWANDER DR","1","1","0.077","13","1","2012"
"NÚÑEZ-REGUEIRO MM","1","1","0.100","44","1","2015"
"O'BRIEN DJ","1","1","0.250","5","1","2021"
"O'BRIEN T","1","1","0.200","2","2","2020"
"O'DONNELL L","1","1","0.111","17","1","2016"
"O'HARA RB","1","1","0.077","5","1","2012"
"O'LEARY CA","1","1","0.167","17","1","2019"
"O'NEILL AJ","1","1","0.333","2","1","2022"
"O'RIAIN M","1","1","0.091","22","1","2014"
"OAKLEAF RJ","1","1","0.125","5","1","2017"
"OBLOZA P","1","1","0.143","15","1","2018"
"OCOCK JF","1","1","0.143","12","1","2018"
"ODDEN J","1","1","0.250","13","1","2021"
"ODONJAVKHLAN C","1","1","0.250","5","1","2021"
"OFTEN A","1","1","0.500","1","1","2023"
"OGURCAK D","1","1","0.077","8","1","2012"
"OGUTU JO","1","1","0.200","18","1","2020"
"OJA EB","1","1","0.250","7","1","2021"
"OJA EC","1","1","0.333","5","1","2022"
"OJWANG GO","1","1","0.200","18","1","2020"
"OKES NC","1","1","0.125","7","1","2017"
"OLEY J","1","1","0.250","22","1","2021"
"OLIVER DL","1","1","0.100","32","1","2015"
"OLIVER K","1","1","0.200","4","1","2020"
"OLIVIER A","1","1","0.077","36","1","2012"
"OLMOS M","1","1","0.143","35","1","2018"
"OLNAOS M","1","1","0.200","13","1","2020"
"OLSON LE","1","1","0.125","5","1","2017"
"OMEYER LCM","1","1","0.333","4","1","2022"
"ONETO F","1","1","0.167","13","1","2019"
"ONO S","1","1","0.100","25","1","2015"
"ORIOLI V","1","1","0.250","1","1","2021"
"OROPEZA-SÁNCHEZ MT","1","1","0.333","1","1","2022"
"ORTEGA J","1","1","0.200","13","1","2020"
"ORTEGA-ALVAREZ R","1","1","0.250","1","1","2021"
"OSORIO-OLVERA L","1","1","0.333","1","1","2022"
"OTT JR","1","1","0.077","24","1","2012"
"OTTO CRV","1","1","0.083","28","1","2013"
"OUSTERHOUT BH","1","1","0.091","31","1","2014"
"OUTHWAITE CL","1","1","0.143","37","1","2018"
"OWENS AK","1","1","0.333","5","1","2022"
"OZGUL A","1","1","0.125","7","1","2017"
"PACHECO-ESQUIVEL J","1","1","0.200","16","1","2020"
"PACHOMSKI A","1","1","0.250","2","1","2021"
"PACZKOWSKI J","1","1","0.111","9","1","2016"
"PADDING P","1","1","0.200","3","1","2020"
"PADILLA P","1","1","0.333","2","1","2022"
"PAIRMAN D","1","1","0.091","27","1","2014"
"PAL S","1","1","0.200","4","1","2020"
"PALACIO FX","1","1","0.200","8","1","2020"
"PALACIOS V","1","1","0.111","14","1","2016"
"PALAZÓN JA","1","1","0.111","16","1","2016"
"PALAZÓN S","1","1","0.200","1","1","2020"
"PALENSCAR K","1","1","0.333","1","1","2022"
