"Element","h_index","g_index","m_index","TC","NP","PY_start"
"ROJAS-MURCIA LE","1","1","0.100","52","1","2015"
"ROLAND CA","1","1","0.083","46","1","2013"
"RONGRONGMUANG W","1","1","0.125","6","1","2017"
"ROODBAL M","1","1","0.333","7","1","2022"
"RORABAUGH JC","1","1","0.125","21","1","2017"
"RORABAUGH JH","1","1","0.333","5","1","2022"
"ROSA G","1","1","0.333","3","1","2022"
"ROSA R","1","1","0.167","7","1","2019"
"ROSALINO LM","1","1","0.333","4","1","2022"
"ROSE JP","1","1","0.500","1","1","2023"
"ROSENBERG KV","1","1","0.125","3","1","2017"
"ROSENBERGER AE","1","1","0.111","28","1","2016"
"ROSENLUND H","1","1","0.111","21","1","2016"
"ROSENSTOCK SS","1","1","0.083","8","1","2013"
"ROSKAFT E","1","1","0.200","11","1","2020"
"ROSS BE","1","1","0.111","19","1","2016"
"ROSS M","1","1","0.333","1","1","2022"
"ROSSMAN S","1","1","0.111","36","1","2016"
"ROTH T","1","1","0.067","13","1","2010"
"ROWE DB","1","1","0.100","16","1","2015"
"ROWE JC","1","2","0.167","16","2","2019"
"ROWINSKI P","1","1","0.333","2","1","2022"
"ROY C","1","1","0.333","2","1","2022"
"ROY DB","1","1","0.111","300","1","2016"
"ROY HE","1","1","0.167","361","1","2019"
"ROZYLOWICZ L","1","1","0.167","7","1","2019"
"RUHL PJ","1","1","0.111","22","1","2016"
"RUIZ J","1","1","0.143","17","1","2018"
"RUSH SA","1","2","0.143","9","2","2018"
"RUSSELL K","1","1","0.333","1","1","2022"
"RUSSELL RE","1","1","0.111","36","1","2016"
"RUSTIGIAN-ROMSOS HL","1","1","0.100","13","1","2015"
"RUTHRAUFF DR","1","1","0.143","4","1","2018"
"RUTLEDGE BA","1","1","0.143","4","1","2018"
"RYAN GE","1","1","0.167","1","1","2019"
"RYAN TJ","1","1","0.250","44","1","2021"
"RYDER TB","1","1","0.333","8","1","2022"
"RYKKEN J","1","1","0.200","24","1","2020"
"SAFFORD HD","1","1","0.111","36","1","2016"
"SAHA GK","1","1","0.333","1","1","2022"
"SALANT NL","1","1","0.100","32","1","2015"
"SALGUERO AJ","1","1","0.250","9","1","2021"
"SALSBURY CM","1","1","0.250","44","1","2021"
"SALTZ D","1","1","0.200","3","1","2020"
"SALVADOR J","1","1","0.333","2","1","2022"
"SALVATORI M","1","1","0.333","7","1","2022"
"SALVI D","1","1","0.143","62","1","2018"
"SAMELIUS G","1","1","0.250","5","1","2021"
"SAMWAYS MJ","1","1","0.200","8","1","2020"
"SAN ED","1","1","0.167","11","1","2019"
"SANDERCOCK BK","1","1","0.500","1","1","2023"
"SANDERLIN JS","1","1","0.111","16","1","2016"
"SANTOS F","1","1","0.333","2","1","2022"
"SAPKOTA NS","1","1","0.200","5","1","2020"
"SARACCO JF","1","1","0.071","45","1","2011"
"SARASOLA JH","1","1","0.333","4","1","2022"
"SASHIKA M","1","1","0.333","6","1","2022"
"SATTERFIELD LC","1","1","0.125","13","1","2017"
"SAUDER JD","1","1","0.091","6","1","2014"
"SAUER EL","1","1","0.333","6","1","2022"
"SAUNDERS SP","1","2","0.111","37","2","2016"
"SAVRE T","1","1","0.125","4","1","2017"
"SAWANT S","1","1","0.250","1","1","2021"
"SAYER CD","1","1","0.167","32","1","2019"
"SAYLOR CF","1","1","0.100","14","1","2015"
"SBERZE M","1","1","0.083","13","1","2013"
"SCALI S","1","1","0.143","62","1","2018"
"SCARI G","1","1","0.143","62","1","2018"
"SCHARFF N","1","1","0.167","27","1","2019"
"SCHAUB R","1","1","0.091","6","1","2014"
"SCHERL D","1","1","0.143","35","1","2018"
"SCHLESINGER MD","1","1","0.083","12","1","2013"
"SCHMID H","1","1","0.056","135","1","2007"
"SCHMUTZ JA","1","2","0.100","10","2","2015"
"SCHREIER BM","1","1","0.200","4","1","2020"
"SCHULTZ AD","1","1","0.250","2","1","2021"
"SCHUMAN MJ","1","1","0.091","12","1","2014"
"SCHUMANN DA","1","1","0.200","4","1","2020"
"SCHUT K","1","1","0.167","2","1","2019"
"SCHWALBE CR","1","1","0.100","73","1","2015"
"SCHWALM D","1","1","0.143","10","1","2018"
"SCHWEITZER SH","1","1","0.100","10","1","2015"
"SCHÜTTLER E","1","1","0.111","20","1","2016"
"SCOGNAMILLO DG","1","1","0.125","40","1","2017"
"SCRETI A","1","1","0.167","7","1","2019"
"SCROGGIE MP","1","1","0.143","8","1","2018"
"SCULLY AE","1","1","0.143","22","1","2018"
"SEAMANS ME","1","1","0.056","149","1","2007"
"SEARLE CE","1","1","0.333","7","1","2022"
"SEE K","1","1","0.091","85","1","2014"
"SEESHOLTZ AM","1","1","0.200","4","1","2020"
"SEKERCIOGLU ÇH","1","1","0.333","3","1","2022"
"SELEBATSO M","1","1","0.333","7","1","2022"
"SELONEN V","1","1","0.125","18","1","2017"
"SENO A","1","1","0.083","29","1","2013"
"SEOANE J","1","1","0.333","4","1","2022"
"SEPPI R","1","1","0.111","12","1","2016"
"SERAFIM R","1","1","0.167","7","1","2019"
"SERAFINI V","1","1","0.143","11","1","2018"
"SETTLAGE RE","1","1","0.143","4","1","2018"
"SETZ EZF","1","1","0.125","14","1","2017"
"SEYRING M","1","1","0.250","29","1","2021"
"SHAKYA AW","1","1","0.200","4","1","2020"
"SHAMON H","1","1","0.200","3","1","2020"
"SHARIEF A","1","1","0.333","3","1","2022"
"SHARMA K","1","1","0.250","5","1","2021"
"SHARMA LK","1","1","0.333","3","1","2022"
"SHEFFIELD CS","1","1","0.200","24","1","2020"
"SHEIL D","1","1","0.333","2","1","2022"
"SHELDON F","1","1","0.083","19","1","2013"
"SHEPHERD B","1","1","0.143","36","1","2018"
"SHERRILL KR","1","1","0.143","10","1","2018"
"SHERRY TW","1","1","0.100","13","1","2015"
"SHERUB S","1","1","0.333","4","1","2022"
"SHIER CJ","1","1","0.250","23","1","2021"
"SHIKLOMANOV AN","1","1","0.333","2","1","2022"
"SHIMOZURU M","1","1","0.333","6","1","2022"
"SHINDERMAN M","1","1","0.143","10","1","2018"
"SHORTALL CR","1","1","0.167","35","1","2019"
"SHRESTHA S","1","1","0.200","5","1","2020"
"SHUTE PW","1","1","0.100","14","1","2015"
"SIBIYA M","1","1","0.250","9","1","2021"
"SIFFERT O","1","1","0.333","2","1","2022"
"SIGAFUS BJ","1","1","0.333","5","1","2022"
"SIGNER J","1","1","0.200","17","1","2020"
"SIITONEN J","1","1","0.200","2","1","2020"
"SIKORA A","1","1","0.083","1","1","2013"
"SILVA TL","1","1","0.250","3","1","2021"
"SILVA-ROCHA I","1","1","0.143","62","1","2018"
"SILVEIRA L","1","1","0.077","68","1","2012"
"SIMAL F","1","1","0.167","2","1","2019"
"SIMON K","1","1","0.250","44","1","2021"
"SIMON KC","1","1","0.250","23","1","2021"
"SIMONS TR","1","1","0.100","10","1","2015"
"SIMPSON SJ","1","1","0.100","40","1","2015"
"SINGH H","1","1","0.333","3","1","2022"
"SINGH I","1","1","0.333","3","1","2022"
"SINGH R","1","1","0.200","14","1","2020"
"SINK K","1","1","0.111","6","1","2016"
"SIQUEIRA T","1","1","0.143","25","1","2018"
"SKERRATT LF","1","1","0.100","4","1","2015"
"SLABBERT R","1","1","0.111","5","1","2016"
"SLAUSON KM","1","1","0.100","13","1","2015"
"SMIT-ROBINSON H","1","1","0.167","10","1","2019"
"SMITH AB","1","1","0.250","13","1","2021"
"SMITH BJ","1","1","0.167","13","1","2019"
"SMITH CD","1","1","0.100","10","1","2015"
"SMITH DAE","1","1","0.143","26","1","2018"
"SMITH GD","1","1","0.250","4","1","2021"
"SMITH L","1","1","0.200","4","1","2020"
"SMITH MM","1","1","0.200","15","1","2020"
"SMITH YCE","1","1","0.143","26","1","2018"
"SNÄLL T","1","1","0.200","2","1","2020"
"SOBERÓN J","1","1","0.333","1","1","2022"
"SOCOLAR JB","1","1","0.333","2","1","2022"
"SOH MCK","1","1","0.250","3","1","2021"
"SOLANO-ZAVALETA I","1","1","0.167","8","1","2019"
"SOLIMINI A","1","1","0.167","7","1","2019"
"SORENSEN JA","1","1","0.125","21","1","2017"
"SOROYE P","1","1","0.200","309","1","2020"
"SOUTHEE FM","1","1","0.143","4","1","2018"
"SOVIE A","1","1","0.333","3","1","2022"
"SPARKS RA","1","2","0.200","13","2","2020"
"SPARROW D","1","1","0.167","57","1","2019"
"SPENCER J","1","1","0.143","12","1","2018"
"SPENCER WD","1","1","0.100","13","1","2015"
"SPENGLER T","1","1","0.250","29","1","2021"
"SPEZIA L","1","1","0.091","6","1","2014"
"SPIRONELLO WR","1","1","0.333","1","1","2022"
"SQUIRES JR","1","1","0.125","5","1","2017"
"SQUIRES MA","1","1","0.167","13","1","2019"
"SREDL MJ","1","1","0.333","5","1","2022"
"SREEKAR R","1","1","0.200","10","1","2020"
"SRIVASTAVA DS","1","1","0.333","1","1","2022"
"ST CLAIR CC","1","1","0.250","23","1","2021"
"STABACH JA","1","1","0.200","18","1","2020"
"STAMATION KA","1","1","0.143","8","1","2018"
"STANTON RA","1","1","0.250","9","1","2021"
"STEEL ZL","1","1","0.167","1","1","2019"
"STEER MA","1","1","0.100","3","1","2015"
"STEIDL RJ","1","1","0.167","23","1","2019"
"STEIN A","1","1","0.333","7","1","2022"
"STEIN J","1","1","0.111","21","1","2016"
"STEINMETZ R","1","1","0.200","14","1","2020"
"STETZ JB","1","1","0.077","10","1","2012"
"STEVENSON CJ","1","1","0.250","23","1","2021"
"STEVENSON DJ","1","1","0.125","16","1","2017"
"STEWART DR","1","1","0.111","9","1","2016"
"STEWART-KOSTER B","1","1","0.083","19","1","2013"
"STILLFRIED M","1","1","0.333","3","1","2022"
"STINSON LT","1","1","0.125","8","1","2017"
"STODOLA KW","1","1","0.143","7","1","2018"
"STOJANOVIC D","1","1","0.167","1","1","2019"
"STONER DC","1","1","0.200","8","1","2020"
"STORCH I","1","1","0.250","6","1","2021"
"STRAKA TM","1","1","0.333","3","1","2022"
"STRAMPELLI P","1","1","0.333","7","1","2022"
"STRANGE JP","1","1","0.200","24","1","2020"
"STREET GM","1","1","0.143","2","1","2018"
"STRINDBERG S","1","1","0.200","1","1","2020"
"STRUEBIG MJ","1","1","0.250","5","1","2021"
"STUART IG","1","1","0.143","8","1","2018"
"STUBER EF","1","1","0.333","2","1","2022"
"STUBER MJ","1","1","0.111","8","1","2016"
"STUDDS CE","1","1","0.167","5","1","2019"
"SUAZO-ORTUÑO I","1","1","0.333","1","1","2022"
"SUBBA SA","1","1","0.333","1","1","2022"
"SUBEDI N","1","1","0.333","6","1","2022"
"SUBEDI S","1","1","0.333","1","1","2022"
"SUHLING F","1","1","0.250","29","1","2021"
"SULLIVAN PJ","1","1","0.091","23","1","2014"
"SUM P","1","1","0.167","1","1","2019"
"SUMMERS S","1","1","0.100","3","1","2015"
"SUN P","1","1","0.333","2","1","2022"
"SUN YF","1","1","0.250","13","1","2021"
"SUNARTO S","1","1","0.125","85","1","2017"
"SUNDAR KSG","1","1","0.077","18","1","2012"
"SUTCLIFF R","1","1","0.333","7","1","2022"
"SUTHERLAND CS","1","1","0.125","16","1","2017"
"SUTTON N","1","1","0.050","309","1","2005"
"SWALLOW B","1","1","0.111","13","1","2016"
"SWANEPOEL LH","1","2","0.250","14","2","2021"
"SWARTHOUT SB","1","1","0.125","3","1","2017"
"SWARTWOUT MC","1","1","0.125","3","1","2017"
"SWARTZ LK","1","1","0.250","7","1","2021"
"SWILLING WR","1","1","0.100","10","1","2015"
"SWORD GA","1","1","0.100","40","1","2015"
"SYTSMA MLT","1","1","0.333","4","1","2022"
"SZEWCZAK JM","1","1","0.100","28","1","2015"
"SZEWCZYK TM","1","1","0.167","21","1","2019"
"SÁENZ-ESCOBAR MF","1","1","0.167","8","1","2019"
"SÁNCHEZ A","1","1","0.100","52","1","2015"
"SÁNCHEZ-GONZÁLEZ LA","1","1","0.250","1","1","2021"
"SÁNCHEZ-LONDOÑO JD","1","1","0.167","12","1","2019"
"TABLADO Z","1","1","0.143","35","1","2018"
"TACK JD","1","1","0.125","8","1","2017"
"TADA T","1","1","0.071","59","1","2011"
"TAKI H","1","1","0.143","16","1","2018"
"TAKTEHRANI A","1","1","0.125","85","1","2017"
"TALLAMY DW","1","1","0.125","88","1","2017"
"TANDIN T","1","1","0.250","15","1","2021"
"TANNER JE","1","1","0.100","3","1","2015"
"TARBILL GL","1","1","0.111","36","1","2016"
"TAYLOR SS","1","1","0.200","9","1","2020"
"TECKLIN J","1","1","0.333","2","1","2022"
"TEETS KD","1","1","0.167","4","1","2019"
"TEGELER AK","1","1","0.167","6","1","2019"
"TEIXEIRA D","1","1","0.333","4","1","2022"
"TEJEDA V","1","1","0.200","16","1","2020"
"TEMPEL DJ","1","1","0.083","50","1","2013"
"TENDRON P","1","1","0.333","2","1","2022"
"TENHUMBERG B","1","1","0.045","545","1","2003"
"TERANDO AJ","1","1","0.125","6","1","2017"
"TETSUYA T","1","1","0.200","13","1","2020"
"TETZLAFF SJ","1","1","0.143","33","1","2018"
"TEWES ME","1","1","0.200","19","1","2020"
"THAKUR M","1","1","0.333","3","1","2022"
"THANET DR","1","1","0.333","2","1","2022"
"THAPA GJ","1","2","0.200","6","2","2020"
"THAPA MK","1","1","0.200","5","1","2020"
"THEISINGER O","1","1","0.333","1","1","2022"
"THILL RE","1","1","0.091","17","1","2014"
"THOMAS RF","1","1","0.143","12","1","2018"
"THOMAS SM","1","1","0.077","13","1","2012"
"THOMPSON C","1","1","0.143","15","1","2018"
"THOMPSON JJ","1","1","0.125","13","1","2017"
"THOMPSON L","1","1","0.333","2","1","2022"
"THOMSON JR","1","1","0.100","32","1","2015"
"THORNTON D","1","1","0.200","10","1","2020"
"THORNTON DH","1","1","0.143","22","1","2018"
"THORSEN NH","1","1","0.250","13","1","2021"
"TIBBITTS TL","1","1","0.143","4","1","2018"
"TILLEY D","1","1","0.333","4","1","2022"
"TOBAJAS J","1","1","0.333","5","1","2022"
"TOBLER U","1","1","0.333","2","1","2022"
"TOMLINSON KW","1","1","0.200","10","1","2020"
"TOMS MP","1","1","0.111","13","1","2016"
"TOMÁS WM","1","1","0.143","26","1","2018"
"TORRES RT","1","1","0.333","4","1","2022"
"TORRES-FLOREZ JP","1","1","0.143","17","1","2018"
"TOWNSEND SE","1","1","0.200","1","1","2020"
"TOZER DC","1","1","0.111","16","1","2016"
"TRAN DV","1","1","0.200","4","1","2020"
"TRAN LM","1","1","0.167","16","1","2019"
"TRAVAINI A","1","1","0.333","4","1","2022"
"TREE A","1","1","0.091","6","1","2014"
"TRINDADE JPP","1","1","0.143","9","1","2018"
"TROCKUR B","1","1","0.250","29","1","2021"
"TRONSTAD LM","1","1","0.200","24","1","2020"
"TRUAN ML","1","1","0.100","10","1","2015"
"TRUDEAU C","1","1","0.091","21","1","2014"
"TSHIMOLOGO B","1","1","0.333","7","1","2022"
"TSUBOTA T","1","1","0.333","6","1","2022"
"TUCKER JM","1","1","0.125","85","1","2017"
"TULLOCH AIT","1","1","0.111","21","1","2016"
"TWEDT DJ","1","1","0.125","7","1","2017"
"TYRRELL PD","1","1","0.333","2","1","2022"
"TZANOPOULOS J","1","1","0.167","35","1","2019"
"TZILKOWSKI CJ","1","1","0.071","85","1","2011"
"TÁLAMO A","1","1","0.100","44","1","2015"
"TÔRRES NM","1","1","0.077","68","1","2012"
"UDELL BJ","1","1","0.125","23","1","2017"
"UMBANHOWAR J","1","1","0.200","9","1","2020"
"UMUNTUNUNDI P","1","1","0.333","2","1","2022"
"URBINA Y","1","1","0.143","35","1","2018"
"URIBE CAM","1","1","0.100","52","1","2015"
"URSO A","1","1","0.143","62","1","2018"
"UTRERAS V","1","1","0.200","2","1","2020"
"UZABAHO E","1","1","0.333","2","1","2022"
"UZARSKI DG","1","1","0.200","4","1","2020"
"VALANKO S","1","1","0.100","10","1","2015"
"VALDES S","1","1","0.200","13","1","2020"
"VALENZUELA L","1","1","0.167","12","1","2019"
"VALLECILLO D","1","1","0.333","1","1","2022"
"VALLEJO-VARGAS AF","1","1","0.333","2","1","2022"
"VALLÈS H","1","1","0.063","11","1","2009"
"VAN DEN BURG MP","1","1","0.333","1","1","2022"
"VAN DEN TOP GG","1","1","0.167","57","1","2019"
"VAN DER MEIJ T","1","1","0.100","13","1","2015"
"VAN GRUNSVEN RHA","1","1","0.167","57","1","2019"
"VAN LANEN NJ","1","1","0.125","8","1","2017"
"VAN MIERLO VA","1","1","0.333","1","1","2022"
"VAN SCHALKWYK J","1","1","0.200","8","1","2020"
"VAN SCHMIDT N","1","1","0.333","2","1","2022"
"VAN SWAAY CAM","1","1","0.083","261","1","2013"
"VAN TN","1","1","0.200","4","1","2020"
"VAN WAGENSVELD TP","1","1","0.333","1","1","2022"
"VANAPPELGHEM C","1","1","0.167","57","1","2019"
"VANAU G","1","1","0.167","7","1","2019"
"VANDER YACHT AL","1","1","0.111","22","1","2016"
"VANDEWALLE P","1","1","0.333","1","1","2022"
"VANEK JP","1","1","0.167","2","1","2019"
"VANLEEUWE H","1","1","0.333","4","1","2022"
"VARGAS CF","1","1","0.083","13","1","2013"
"VARGAS-CASTILLO A","1","1","0.250","1","1","2021"
"VASUDEVAN K","1","1","0.100","2","1","2015"
"VEILLEUX MAN","1","1","0.143","10","1","2018"
"VELHO N","1","1","0.200","10","1","2020"
"VELÁSQUEZ-C K","1","1","0.333","1","1","2022"
"VENTICINQUE EM","1","1","0.143","15","1","2018"
"VERAN S","1","1","0.100","40","1","2015"
"VERBYLA DL","1","1","0.071","3","1","2011"
"VERCAUTEREN T","1","1","0.071","12","1","2011"
"VERGARA PM","1","1","0.250","2","1","2021"
"VERON G","1","1","0.250","7","1","2021"
"VERSFELD WF","1","1","0.111","5","1","2016"
"VERSIANI NF","1","1","0.143","28","1","2018"
"VIALET E","1","1","0.333","1","1","2022"
"VICENTE J","1","1","0.333","7","1","2022"
"VIDDI FA","1","1","0.143","17","1","2018"
"VIERLING KT","1","1","0.100","28","1","2015"
"VIERLING LA","1","1","0.100","28","1","2015"
"VILELLA FJ","1","1","0.143","9","1","2018"
"VILLAGRÁN AM","1","1","0.250","1","1","2021"
"VILLANUA D","1","1","0.333","6","1","2022"
"VILLAR N","1","1","0.200","13","1","2020"
"VINCENT ACJ","1","1","0.125","6","1","2017"
"VINDSTAD OPL","1","1","0.100","5","1","2015"
"VISCARRA M","1","1","0.200","1","1","2020"
"VISHNUDAS CK","1","1","0.200","5","1","2020"
"VITEKERE K","1","1","0.200","8","1","2020"
"VOGELER JC","1","1","0.167","3","1","2019"
"VOLPE JP","1","1","0.091","11","1","2014"
"VUCETICH JA","1","1","0.200","21","1","2020"
"VYNNE C","1","1","0.200","10","1","2020"
"VÁSQUEZ-MARTÍNEZ R","1","1","0.333","1","1","2022"
"WAITS LP","1","1","0.250","1","1","2021"
"WALK JW","1","1","0.143","7","1","2018"
"WALKER RS","1","1","0.100","7","1","2015"
"WALLACE R","1","1","0.200","1","1","2020"
"WALLACE ZP","1","1","0.125","5","1","2017"
"WALLACH AD","1","1","0.333","2","1","2022"
"WALLISDEVRIES MF","1","1","0.167","57","1","2019"
"WALSH SJ","1","1","0.143","3","1","2018"
"WANG DJ","1","1","0.143","25","1","2018"
"WANG F","1","2","0.143","25","2","2018"
"WANG J","1","1","0.200","8","1","2020"
"WANG JX","1","1","0.333","6","1","2022"
"WANG L","1","1","0.333","6","1","2022"
"WANG X","1","1","0.100","12","1","2015"
"WANG ZY","1","1","0.333","6","1","2022"
"WANGDI S","1","1","0.250","15","1","2021"
"WANN GT","1","1","0.167","15","1","2019"
"WARD MP","1","1","0.143","7","1","2018"
"WARD TM","1","1","0.100","3","1","2015"
"WASEEM M","1","1","0.200","8","1","2020"
"WASSENS S","1","1","0.143","12","1","2018"
"WEARN OR","1","1","0.125","59","1","2017"
"WEBB EB","1","2","0.250","9","2","2021"
"WEBB MH","1","1","0.167","1","1","2019"
"WEBBER AF","1","1","0.083","33","1","2013"
"WEDDERBURN SD","1","1","0.143","6","1","2018"
"WEISE FJ","1","1","0.333","7","1","2022"
"WEISKOPF SR","1","1","0.333","2","1","2022"
"WELLS HBM","1","1","0.200","18","1","2020"
"WELLS K","1","1","0.077","5","1","2012"
"WELLS M","1","1","0.143","10","1","2018"
"WEN QZ","1","1","0.333","6","1","2022"
"WESOLOWSKI T","1","1","0.333","2","1","2022"
"WESTON MA","1","1","0.333","2","1","2022"
"WESTPHAL J","1","1","0.100","16","1","2015"
"WHEAT BR","1","1","0.143","9","1","2018"
"WHEATLEY M","1","1","0.091","20","1","2014"
"WHEEDLETON S","1","1","0.333","2","1","2022"
"WHEELER K","1","1","0.143","3","1","2018"
"WHITE D","1","1","0.091","17","1","2014"
"WHITE GC","1","1","0.077","58","1","2012"
"WHITEHEAD AL","1","1","0.091","27","1","2014"
"WHITESELL C","1","1","0.333","7","1","2022"
"WHITMAN M","1","1","0.111","28","1","2016"
"WHITTINGTON-JONES G","1","1","0.250","9","1","2021"
"WIDODO FA","1","1","0.125","85","1","2017"
"WIGLEY TB","1","1","0.091","17","1","2014"
"WIKLE CK","1","1","0.111","27","1","2016"
"WILEY DN","1","1","0.250","3","1","2021"
"WILK AJ","1","1","0.333","1","1","2022"
"WILKE AL","1","1","0.100","10","1","2015"
"WILKINS LGE","1","1","0.167","1","1","2019"
"WILLIAMS DM","1","1","0.250","3","2","2021"
"WILLIAMS KS","1","1","0.250","9","1","2021"
"WILLIAMS LA","1","1","0.200","3","1","2020"
"WILLIAMS PJ","1","1","0.125","28","1","2017"
"WILLIAMS R","1","1","0.143","17","1","2018"
"WILLIAMS SG","1","1","0.143","1","1","2018"
"WILLIAMS ST","1","1","0.250","9","1","2021"
"WILLIAMSON J","1","1","0.250","44","1","2021"
"WILLIGALLA C","1","1","0.250","29","1","2021"
"WILSON EC","1","1","0.200","3","1","2020"
"WILSON HB","1","1","0.167","5","1","2019"
"WILSON RR","1","1","0.125","7","1","2017"
"WILSON S","1","1","0.333","4","1","2022"
"WILSON TL","1","1","0.143","4","1","2018"
"WINGARD G","1","1","0.125","7","1","2017"
"WINNE CT","1","1","0.083","24","1","2013"
"WINTERBACH C","1","1","0.333","7","1","2022"
"WINTERHOLLER M","1","1","0.167","57","1","2019"
"WIPFLI MS","1","2","0.111","28","2","2016"
"WOLSKA A","1","1","0.333","2","1","2022"
"WOMACK-BULLINER KM","1","1","0.143","1","1","2018"
"WOMBLE JN","1","1","0.125","28","1","2017"
"WONG WM","1","1","0.250","6","1","2021"
"WOOD CM","1","1","0.200","11","1","2020"
"WOOD EM","1","1","0.125","3","1","2017"
"WOOD PB","1","1","0.167","8","1","2019"
"WOODFORD LP","1","1","0.167","20","1","2019"
"WOODGATE Z","1","1","0.250","1","1","2021"
"WOOSTER EIF","1","1","0.333","2","1","2022"
"WRONSKI T","1","1","0.333","2","1","2022"
"WU CY","1","1","0.333","6","1","2022"
"WULFF M","1","1","0.333","1","1","2022"
"WULTSCH C","1","1","0.125","85","1","2017"
"WYATT FR","1","1","0.333","1","1","2022"
"XIAO YQ","1","1","0.250","13","1","2021"
"XOFIS P","1","1","0.167","35","1","2019"
"XU CCY","1","1","0.333","6","1","2022"
"YACKULIC CB","1","2","0.111","37","2","2016"
"YADAV RK","1","1","0.333","2","1","2022"
"YAGUI H","1","1","0.200","16","1","2020"
"YAMANE Y","1","1","0.333","2","1","2022"
"YANCO E","1","1","0.333","2","1","2022"
"YANG CY","1","1","0.333","6","1","2022"
"YANG ZX","1","1","0.333","6","1","2022"
"YIRKA LM","1","1","0.143","1","1","2018"
"YORK G","1","1","0.333","1","1","2022"
"YU DW","1","1","0.333","6","1","2022"
"ZACCAGNINI ME","1","1","0.100","28","1","2015"
"ZAMAN M","1","1","0.200","8","1","2020"
"ZAMBRANO AA","1","1","0.200","13","1","2020"
"ZAMORA-LOPEZ A","1","1","0.250","6","1","2021"
"ZAMORA-LÓPEZ A","1","1","0.250","9","1","2021"
"ZAMORA-MARIN JM","1","1","0.250","6","1","2021"
"ZAMORA-MARÍN JM","1","1","0.250","9","1","2021"
"ZAPATA-RÍOS G","1","1","0.200","2","1","2020"
"ZAPPALLA A","1","1","0.125","6","1","2017"
"ZAVALETA A","1","1","0.333","1","1","2022"
"ZEILINGER AR","1","1","0.125","14","1","2017"
"ZELLER KA","1","1","0.143","35","1","2018"
"ZHANG DD","1","1","0.250","13","1","2021"
"ZHOU WJ","1","1","0.167","7","1","2019"
"ZHU MY","1","1","0.200","8","1","2020"
"ZIELINSKI WJ","1","1","0.100","13","1","2015"
"ZIMMERMAN CE","1","1","0.111","28","1","2016"
"ZIMMERMANN F","1","1","0.091","21","1","2014"
"ZMIHORSKI M","1","1","0.143","15","1","2018"
"ZOBELL VM","1","1","0.125","1","1","2017"
"ZOLLNER PA","1","1","0.125","11","1","2017"
"ZOU FS","1","1","0.200","3","2","2020"
"ZUANON J","1","1","0.143","19","1","2018"
"ZUBILETA IS","1","1","0.333","1","1","2022"
"ZULIAN V","1","1","0.250","28","1","2021"
"ZÚÑIGA-VEGA JJ","1","1","0.167","8","1","2019"
"ÅSTRÖM J","1","1","0.500","1","1","2023"
